,Name,Quiescent_Background,Quiescent_Background_Error,Average_Source_Flux (0.2-5 MeV)
97,4FGL J0128.5+4440,-3333,-3333,2.6585724137815133e-09
98,4FGL J0131.1+6120,-3333,-3333,1.29911598862114e-08
99,4FGL J0132.1-0956,4.93909090909091e-08,5.181224389354268e-09,4.186991579529847e-06
100,4FGL J0132.7-1654,6.856684210526316e-08,1.6434654853177471e-09,2.2401207801957594e-06
101,4FGL J0133.1-5201,7.895671957671957e-08,1.6148808593139881e-09,1.2651002610263404e-06
102,4FGL J0134.3-3842,5.661798076923077e-08,3.3120719029407308e-09,5.087238000546677e-06
103,4FGL J0137.0+4751,7.532370277078084e-08,1.9395140106441387e-09,1.3077664287743406e-06
104,4FGL J0137.6-2430,6.309378854625551e-08,2.27790099833551e-09,5.653271818622801e-06
105,4FGL J0137.9+5814,7.420454545454546e-08,4.805332228331022e-09,1.0673318157936487e-05
106,4FGL J0138.0+2247,-3333,-3333,1.3371185487556832e-05
107,4FGL J0140.6+8736,-3333,-3333,1.1438380464611431e-05
108,4FGL J0141.4-0928,5.570958620689655e-08,1.5389885341592752e-09,1.260258946780766e-06
109,4FGL J0143.1-3622,5.5804215686274505e-08,2.197726896635504e-09,4.7561934553610317e-07
110,4FGL J0143.7-5846,-3333,-3333,3.5611489228449125e-07
111,4FGL J0144.6+2705,5.900511156186613e-08,1.342119822711557e-09,5.159867278628167e-07
112,4FGL J0145.0-2732,5.7935862068965514e-08,3.050387860070601e-09,2.3921165818729884e-06
113,4FGL J0146.0-6746,-3333,-3333,6.504587832261422e-08
114,4FGL J0152.2+3714,6.009577777777778e-08,5.517193991229781e-09,7.662508451721919e-06
115,4FGL J0152.2+2206,-3333,-3333,3.359573803249497e-05
116,4FGL J0152.6+0147,4.224500000000001e-08,3.896994896029033e-09,1.1011031676397062e-05
117,4FGL J0153.9+0823,4.1604066666666666e-08,2.6921346134263115e-09,1.9584808367713413e-07
118,4FGL J0156.3-2420,4.818884615384615e-08,6.7546053587764896e-09,7.148804562041152e-09
119,4FGL J0156.5+3914,6.564459016393442e-08,4.784294333386099e-09,0.00020882131699699675
120,4FGL J0156.8-4744,4.044455696202532e-08,3.204006542108646e-09,7.377149699266289e-06
121,4FGL J0157.7-4614,-3333,-3333,1.1626679357185041e-08
122,4FGL J0158.5-3932,2.703918918918919e-08,3.566036979174796e-09,8.014325735946798e-07
123,4FGL J0159.0+3313,-3333,-3333,2.8493378612531574e-06
124,4FGL J0159.5+1046,5.664651515151515e-08,2.724695650845729e-09,3.4144169938004895e-07
125,4FGL J0200.6-6637,6.210760869565217e-08,3.79709118819945e-09,0.0006864015788576981
126,4FGL J0202.7+4204,4.6965833333333334e-08,7.094315741493326e-09,2.5498928259437935e-07
127,4FGL J0203.6+7233,7.3542e-08,1.2115562732724326e-08,8.033603147238817e-07
128,4FGL J0203.7+3042,6.373950738916256e-08,2.825336018231629e-09,8.98424582088608e-07
129,4FGL J0204.8+1513,9.683706563706564e-08,3.632585798006932e-09,1.3490887801754082e-05
130,4FGL J0205.0-1700,1.0298308203991132e-07,1.8442031338811759e-09,5.727558373707086e-06
131,4FGL J0205.2+3212,8.431864150943396e-08,2.567459320842519e-09,1.703120162760344e-05
132,4FGL J0205.7+6449,1.0991254350736279e-07,1.9246100271424475e-09,1.0610316304588843e-08
133,4FGL J0206.4-1151,5.984672839506171e-08,2.65043113915088e-09,4.923401386210038e-06
134,4FGL J0207.5-2402,-3333,-3333,2.8648159485340483e-06
135,4FGL J0209.3-5228,3.1659614147909975e-08,1.322890981905999e-09,4.4520955109412316e-07
136,4FGL J0209.9+7229,2.2937439024390244e-08,3.6925833327768154e-09,8.710289434123615e-10
137,4FGL J0210.7-5101,1.1491287066246055e-07,1.3824164454745383e-09,2.6742070966629325e-06
138,4FGL J0211.2+1051,7.433936241610739e-08,1.6620247930258675e-09,4.089824299511812e-06
139,4FGL J0212.9+2244,3.5217e-08,4.181801427217766e-09,8.255707068951763e-08
140,4FGL J0214.4-5822,5.995736842105264e-08,8.489430340134728e-09,7.896631642510179e-12
141,4FGL J0216.6-1015,4.435628571428572e-08,4.756601090609259e-09,3.4394648771717806e-06
142,4FGL J0216.8-6635,-3333,-3333,8.194055743085232e-09
143,4FGL J0217.2+0837,7.444962365591398e-08,2.0989769660287804e-09,1.0506592840138006e-05
