,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
44,4FGL J2253.9+1609,0.001157573701771348,0.0004308611577859789,56744.50001157408
45,4FGL J2253.9+1609,0.0008994879645645271,0.0004308611577859789,56954.50001157408
46,4FGL J2253.9+1609,0.0007919682180277981,0.0004308611577859789,57045.50001157408
47,4FGL J2253.9+1609,0.0007500872969263809,0.0004308611577859789,57143.50001157408
48,4FGL J2253.9+1609,0.0009215896688366841,0.0004308611577859789,57164.50001157408
49,4FGL J2253.9+1609,0.0010003258005073484,0.0004308611577859789,57227.50001157408
50,4FGL J2253.9+1609,0.0010671782208154855,0.0004308611577859789,57374.50001157408
51,4FGL J2253.9+1609,0.0008367808036063144,0.0004308611577859789,57451.50001157408
52,4FGL J2253.9+1609,0.0006125084711082257,0.0004308611577859789,57521.50001157408
53,4FGL J2253.9+1609,0.0010458310320886957,0.0004308611577859789,57542.50001157408
54,4FGL J2253.9+1609,0.0005946043773373698,0.0004308611577859789,57661.50001157408
55,4FGL J2253.9+1609,0.0008367808036063144,0.0004308611577859789,58396.50001157408
56,4FGL J2253.9+1609,0.0005947928414823261,0.0004308611577859789,59824.50001157408
57,4FGL J2229.7-0832,0.00012288301359905245,8.792743175875196e-05,56576.50001157408
58,4FGL J2229.7-0832,0.00010992763209904449,8.792743175875196e-05,57199.50001157408
59,4FGL J2147.3-7536,0.00012950279102721151,8.963187822986688e-05,56212.50001157408
60,4FGL J2147.3-7536,0.00015961919259378408,8.963187822986688e-05,56867.00001157408
61,4FGL J1642.9+3948,0.00026431191148984653,0.0001966577998349592,54683.00001157408
62,4FGL J1642.9+3948,0.0003436852709827379,0.0001966577998349592,54910.50001157408
63,4FGL J1642.9+3948,0.00025412052148414876,0.0001966577998349592,55050.50001157408
64,4FGL J1642.9+3948,0.00022573948514356101,0.0001966577998349592,58165.50001157408
65,4FGL J1642.9+3948,0.00030444468563106534,0.0001966577998349592,58501.50001157408
66,4FGL J1642.9+3948,0.00038743003410013734,0.0001966577998349592,59369.50001157408
67,4FGL J1642.9+3948,0.00029207883109754173,0.0001966577998349592,59502.50001157408
68,4FGL J1642.9+3948,0.00040146137321326534,0.0001966577998349592,59579.50001157408
69,4FGL J1642.9+3948,0.00039214383037735814,0.0001966577998349592,59656.50001157408
70,4FGL J1642.9+3948,0.0005117311911846722,0.0001966577998349592,59772.00001157408
71,4FGL J1642.9+3948,0.0005488729711900113,0.0001966577998349592,60125.50001157408
72,4FGL J1642.9+3948,0.00038228995328100764,0.0001966577998349592,60164.00001157408
73,4FGL J1642.9+3948,0.00029159716706159947,0.0001966577998349592,60594.50001157408
74,4FGL J1626.0-2950,0.00019995545860417553,0.0001374345989424047,56828.50001157408
75,4FGL J1626.0-2950,0.0001616586241896096,0.0001374345989424047,56975.50001157408
