,Name,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),MDP99,Start Time (MJD),Start Time (s)
93,4FGL J2229.7-0832,4.342265976203573e-06,595.3976154059101,89.5264428389097,13711680.0,137116800.0,226.71428571428572,59146.82829915534,55545.50001157408,4799131201.0
94,4FGL J2229.7-0832,2.4525355072465535e-06,83.91203085913648,50.565023216719524,3421440.0,34214400.0,56.57142857142857,52311.05752517666,57147.50001157408,4937544001.0
95,4FGL J2229.7-0832,3.8111043155890618e-06,785.8253188068447,78.57524493720936,20619360.0,206193600.0,340.92857142857144,82639.69621877276,57546.50001157408,4972017601.0
96,4FGL J2147.3-7536,1.030607586780617e-06,9.349672027273758,21.08965725735024,907200.0,9072000.0,15.0,64583.72413527136,55254.50001157408,4773988801.0
97,4FGL J2147.3-7536,6.709046948807163e-07,3.8257669320877965,13.728940334681763,570240.0,5702400.0,9.428571428571429,78656.22275288192,55449.50001157408,4790836801.0
98,4FGL J2147.3-7536,7.935767634260602e-07,7.199328397801218,16.239218653855627,907200.0,9072000.0,15.0,83873.79924868913,55749.50001157408,4816756801.0
99,4FGL J2147.3-7536,4.25803874289623e-08,0.033110509264761084,0.8713362760768769,77760.0,777600.0,1.2857142857142858,457647.19135966396,55881.50001157408,4828161601.0
100,4FGL J2147.3-7536,1.9449098867552685e-07,0.7561809639704484,3.9799321714901916,388800.0,3888000.0,6.428571428571429,224040.07933297052,55956.50001157408,4834641601.0
101,4FGL J2147.3-7536,1.7380908621003088e-07,0.36041052116512007,3.5567116945385657,207360.0,2073600.0,3.4285714285714284,183085.34857060312,56076.50001157408,4845009601.0
102,4FGL J2147.3-7536,1.0422056732612676e-07,0.16208382630559234,2.132699266207213,155520.0,1555200.0,2.5714285714285716,264425.0039600303,56160.50001157408,4852267201.0
103,4FGL J2147.3-7536,2.519947880795921e-07,1.0450727851236845,5.156651066230203,414720.0,4147200.0,6.857142857142857,178586.44094436048,56211.50001157408,4856673601.0
104,4FGL J2147.3-7536,2.2320233562762715e-07,0.8678106809202144,4.567461774787743,388800.0,3888000.0,6.428571428571429,195221.11779200006,56331.50001157408,4867041601.0
105,4FGL J2147.3-7536,8.476903529357815e-07,10.546624295085818,17.346562584138464,1244160.0,12441600.0,20.571428571428573,91952.54523347308,56412.50001157408,4874040001.0
106,4FGL J2147.3-7536,1.0746478732071437e-07,0.16712923724117498,2.1990867920035466,155520.0,1555200.0,2.5714285714285716,256442.4170646473,56574.50001157408,4888036801.0
107,4FGL J2147.3-7536,2.228130292282766e-07,1.6170878409271403,4.559495271692183,725760.0,7257600.0,12.0,267188.1212839386,56625.50001157408,4892443201.0
108,4FGL J2147.3-7536,6.991294088336286e-07,2.990036655699663,14.306511809109862,427680.0,4276800.0,7.071428571428571,65368.57448486015,56768.00001157408,4904755201.0
109,4FGL J2147.3-7536,1.0012473958295992e-06,12.586881262453058,20.488850148893416,1257120.0,12571200.0,20.785714285714285,78254.68693262676,56840.00001157408,4910976001.0
110,4FGL J2147.3-7536,6.082912489851758e-08,0.047300727521087264,1.2447661086812527,77760.0,777600.0,1.2857142857142858,320353.80316405726,57003.50001157408,4925102401.0
