,Name,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Average Flux of Entire Source (0.2-5 MeV),Start Time (MJD)
50,4FGL J2256.0-2740,0.00035844817322784687,0.00028397823592799486,60073.00001157408
51,4FGL J2253.9+1609,0.0009451476869562311,0.00045535819867119923,54683.00001157408
52,4FGL J2253.9+1609,0.001691318108580808,0.00045535819867119923,55050.50001157408
53,4FGL J2253.9+1609,0.0013456339949885327,0.00045535819867119923,56793.50001157408
54,4FGL J2253.9+1609,0.0008994879645645271,0.00045535819867119923,56954.50001157408
55,4FGL J2253.9+1609,0.0008348961621567506,0.00045535819867119923,57052.50001157408
56,4FGL J2253.9+1609,0.0009215896688366841,0.00045535819867119923,57164.50001157408
57,4FGL J2253.9+1609,0.0010003258005073484,0.00045535819867119923,57227.50001157408
58,4FGL J2253.9+1609,0.0010671782208154855,0.00045535819867119923,57374.50001157408
59,4FGL J2253.9+1609,0.0010458310320886957,0.00045535819867119923,57542.50001157408
60,4FGL J2253.9+1609,0.0006502013000995009,0.00045535819867119923,57661.50001157408
61,4FGL J2253.9+1609,0.0008443193694045695,0.00045535819867119923,57731.50001157408
62,4FGL J2253.9+1609,0.0006169059678238745,0.00045535819867119923,57766.50001157408
63,4FGL J2253.9+1609,0.0005947928414823261,0.00045535819867119923,59824.50001157408
64,4FGL J1642.9+3948,0.00025412052148414876,0.00020442546905214188,55050.50001157408
65,4FGL J1642.9+3948,0.000414360772364326,0.00020442546905214188,59383.50001157408
66,4FGL J1642.9+3948,0.0005102305132046585,0.00020442546905214188,59656.50001157408
67,4FGL J1642.9+3948,0.0005117311911846722,0.00020442546905214188,59772.00001157408
68,4FGL J1642.9+3948,0.00043654238348927603,0.00020442546905214188,60164.00001157408
69,4FGL J1642.9+3948,0.00029159716706159947,0.00020442546905214188,60594.50001157408
70,4FGL J1626.0-2950,0.0001860672666993989,0.00014417580269983146,56975.50001157408
71,4FGL J1626.0-2950,0.00020684738654793016,0.00014417580269983146,60398.50001157408
72,4FGL J1512.8-0906,0.000626752229427295,0.00022706344274965958,54833.50001157408
73,4FGL J1512.8-0906,0.0006669758610176687,0.00022706344274965958,54889.50001157408
