Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr,ThresholdPercent
4FGL J1159.5+2914,4838400.0,19063.6600238417,-0.625,0.11267605633802817,12096000.0,261.09142190220547,FSRQ,1834.7474546790745,0.00037920540977990134,59943.50001157408,0.00013408229953152084,0.0006721380646210295,59700.0,60200.0,1.3e-06,4.3200508474576266e-07,6.132391005508736e-09,0.3
4FGL J1224.9+2122,604800.0,4926.65524803699,0.0,0.010101010101010102,1512000.0,357.491858857107,FSRQ,474.6279371415438,0.0007847684145858858,55099.50001157408,0.0003083237217240518,0.0007847684145858858,55000.0,55700.0,1.7e-06,6.414620689655173e-07,6.825872367278791e-09,0.3
4FGL J1224.9+2122,604800.0,3890.5775349304977,0.0,0.010101010101010102,1512000.0,452.53887143971144,FSRQ,374.8134782576997,0.0006197312801879956,55225.50001157408,0.0003083237217240518,0.0006197312801879956,55000.0,55700.0,1.7e-06,6.414620689655173e-07,6.825872367278791e-09,0.3
4FGL J1224.9+2122,1814400.0,18776.265494664574,0.0,0.030303030303030304,4536000.0,162.54003330507973,FSRQ,1808.8824385480293,0.0009969590159546017,55302.50001157408,0.0003083237217240518,0.0012461987699432522,55000.0,55700.0,1.7e-06,6.414620689655173e-07,6.825872367278791e-09,0.3
4FGL J1224.9+2122,604800.0,7337.121764243927,0.0,0.010101010101010102,1512000.0,240.23561130812493,FSRQ,706.8493312794664,0.0011687323599197527,55337.50001157408,0.0003083237217240518,0.0011687323599197527,55000.0,55700.0,1.7e-06,6.414620689655173e-07,6.825872367278791e-09,0.3
4FGL J1224.9+2122,3024000.0,35353.508904368435,-0.4,0.050505050505050504,7560000.0,111.47500707746248,FSRQ,3405.9137806895324,0.0011262942396460093,55351.50001157408,0.0003083237217240518,0.0017648869066223354,55000.0,55700.0,1.7e-06,6.414620689655173e-07,6.825872367278791e-09,0.3
4FGL J1224.9+2122,604800.0,4334.610840547565,0.0,0.010101010101010102,1512000.0,406.24071571559267,FSRQ,417.5911034936329,0.0006904614806442342,55477.50001157408,0.0003083237217240518,0.0006904614806442342,55000.0,55700.0,1.7e-06,6.414620689655173e-07,6.825872367278791e-09,0.3
4FGL J1224.9+2122,1209600.0,4472.049720857611,0.5,0.023809523809523808,3024000.0,556.4692863014959,FSRQ,430.8317970190408,0.000356177080868916,56527.50001157408,0.00019357647309626626,0.00043448551708832303,56400.0,57000.0,8e-07,4.6746578947368424e-07,7.124540387243612e-09,0.3
4FGL J1224.9+2122,604800.0,2177.8776418360944,0.0,0.011904761904761904,1512000.0,807.9621374118641,FSRQ,209.81406663338632,0.0003469147927139324,56555.50001157408,0.00019357647309626626,0.0003469147927139324,56400.0,57000.0,8e-07,4.6746578947368424e-07,7.124540387243612e-09,0.3
4FGL J1224.9+2122,1209600.0,4235.231957861842,0.0,0.023809523809523808,3024000.0,587.5619187549585,FSRQ,408.0170635598764,0.0003373156940805857,56646.50001157408,0.00019357647309626626,0.00034354668793030194,56400.0,57000.0,8e-07,4.6746578947368424e-07,7.124540387243612e-09,0.3
4FGL J1224.9+2122,1814400.0,8098.32171673033,0.6666666666666666,0.03571428571428571,4536000.0,376.4132232549507,FSRQ,780.1824031124947,0.0004299947107101492,56681.50001157408,0.00019357647309626626,0.0005557372892990178,56400.0,57000.0,8e-07,4.6746578947368424e-07,7.124540387243612e-09,0.3
4FGL J1224.9+2122,2419200.0,16175.498990336037,0.25,0.047619047619047616,6048000.0,217.70290852328625,FSRQ,1558.3277764518496,0.0006441500398693161,56954.50001157408,0.00019357647309626626,0.0011047383690307748,56400.0,57000.0,8e-07,4.6746578947368424e-07,7.124540387243612e-09,0.3
4FGL J1229.0+0202,2419200.0,87378.89147503547,0.75,0.034482758620689655,6048000.0,40.53686891960452,FSRQ,8212.268897732612,0.0033946217335204254,54714.50001157408,0.002142073390579119,0.004186396775923313,54500.0,55500.0,1e-06,5.489811320754716e-07,6.462150732275216e-09,0.3
