Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr
4FGL J0539.9-2839,1814400.0,73169.23045024338,0.3333333333333333,0.04477611940298507,9072000.0,59.10216952658561,FSRQ,5383.261906821671,0.0029669653366521556,59194.50001157408,0.0011817121071296375,0.003723089466768494,59100.0,59600.0,2e-07,1.1320256410256407e-07,5.89891356522538e-09
4FGL J0539.9-2839,9676800.0,270077.5611494441,-0.6875,0.23880597014925373,48384000.0,36.93236813056292,FSRQ,19870.35039013816,0.002053400957975587,59299.50001157408,0.0011817121071296375,0.0035258396936946666,59100.0,59600.0,2e-07,1.1320256410256407e-07,5.89891356522538e-09
4FGL J0841.3+7053,1209600.0,138162.49367143653,-0.5,0.014084507042253521,6048000.0,25.742844663954656,FSRQ,10176.654185980142,0.008413239241055012,57227.50001157408,0.001891676294662806,0.012925476298150225,57000.0,58000.0,4e-07,1.932245454545455e-07,3.535611496865128e-09
4FGL J0841.3+7053,6652800.0,607122.1841295516,0.0,0.07746478873239436,33264000.0,13.708019956341513,FSRQ,44718.88391951291,0.0067218139609657454,57297.50001157408,0.001891676294662806,0.020244721912765412,57000.0,58000.0,4e-07,1.932245454545455e-07,3.535611496865128e-09
4FGL J0841.3+7053,1209600.0,63359.10746339361,0.0,0.014084507042253521,6048000.0,55.79507795171771,FSRQ,4666.850670201906,0.0038581768106827927,57451.50001157408,0.001891676294662806,0.003978866499008894,57000.0,58000.0,4e-07,1.932245454545455e-07,3.535611496865128e-09
4FGL J0904.9-5734,2419200.0,5988.76254002196,0.0,0.0975609756097561,12096000.0,830.6676872996832,FSRQ,467.7568959145588,0.0001933518914990736,58928.50001157408,4.122791244129078e-05,0.00025356678227959163,58800.0,59100.0,2e-06,4.1530000000000007e-07,8.964204442425995e-09
4FGL J1129.8-1447,604800.0,35003.990589254725,0.0,0.0070921985815602835,3024000.0,71.45103116715488,FSRQ,2581.496648315397,0.004268347632796622,59656.50001157408,0.002735606773615545,0.004268347632796622,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,3024000.0,275729.7582729003,-0.4,0.03546099290780142,15120000.0,20.349443501860364,FSRQ,20334.694268853124,0.0067244359354673025,59698.50001157408,0.002735606773615545,0.009140781708968558,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,1209600.0,91323.260364145,0.0,0.014184397163120567,6048000.0,38.79849505176735,FSRQ,6734.966115996036,0.005567928336636934,59747.50001157408,0.002735606773615545,0.006040864433753134,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,1209600.0,93278.79056466203,0.5,0.014184397163120567,6048000.0,37.991158540083234,FSRQ,6879.183805846058,0.00568715592414522,59789.50001157408,0.002735606773615545,0.00689930306381279,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,1814400.0,316339.6021036372,-0.6666666666666666,0.02127659574468085,9072000.0,13.850864122876839,FSRQ,23329.614961405256,0.012858032937282438,59873.50001157408,0.002735606773615545,0.01716877260119312,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,1209600.0,71898.32703900922,0.0,0.014184397163120567,6048000.0,49.20274763910243,FSRQ,5302.403730152482,0.0043836009673879645,59922.50001157408,0.002735606773615545,0.004959867640344678,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,1814400.0,149402.50731950064,0.0,0.02127659574468085,9072000.0,29.06542254509282,FSRQ,11018.231504541696,0.0060726584570886775,59943.50001157408,0.002735606773615545,0.008266446067241131,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,604800.0,100383.88362654056,0.0,0.0070921985815602835,3024000.0,25.179913762890788,FSRQ,7403.174745634472,0.012240698984183982,60013.50001157408,0.002735606773615545,0.012240698984183982,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,3024000.0,205721.77709439088,-0.4,0.03546099290780142,15120000.0,27.212361945218206,FSRQ,15171.700972222334,0.0050170968823486555,60027.50001157408,0.002735606773615545,0.007590823071360845,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,604800.0,38523.944950185374,0.0,0.0070921985815602835,3024000.0,64.95985253948764,FSRQ,2841.088490045437,0.00469756694782645,60069.50001157408,0.002735606773615545,0.00469756694782645,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1129.8-1447,1209600.0,85717.40712266287,0.0,0.014184397163120567,6048000.0,41.317010789179264,FSRQ,6321.542071759306,0.00522614258577985,60104.50001157408,0.002735606773615545,0.0060090704104175914,59500.0,60500.0,5e-07,2.5619743589743585e-07,5.3634503257441555e-09
4FGL J1153.4+4931,3628800.0,74740.73627054697,0.16666666666666666,0.11538461538461539,18144000.0,81.6653529722568,FSRQ,5511.607982183755,0.0015188514060250646,55666.50001157408,0.000554013286096339,0.0030805326014339872,55500.0,55900.0,2e-07,1.376025641025641e-07,5.467323956928106e-09
