,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
311,4FGL J1512.8-0906,0.0007855470673036,0.0006918049351534,56156.50001157408
312,4FGL J1512.8-0906,0.0008646419340999,0.0006918049351534,56254.50001157408
313,4FGL J1512.8-0906,0.0009768128361019,0.0006918049351534,56296.50001157408
314,4FGL J1512.8-0906,0.0007998227261888,0.0006918049351534,56394.50001157408
315,4FGL J1512.8-0906,0.000741176776174,0.0006918049351534,56443.50001157408
316,4FGL J1512.8-0906,0.0009705518898832,0.0006918049351534,56471.50001157408
317,4FGL J1512.8-0906,0.0016647083415215,0.0006918049351534,56499.50001157408
318,4FGL J1512.8-0906,0.0008391772452777,0.0006918049351534,56667.50001157408
319,4FGL J1512.8-0906,0.0006383534493388,0.0006918049351534,56744.50001157408
320,4FGL J1512.8-0906,0.0008095456073755,0.0006918049351534,56772.50001157408
321,4FGL J1512.8-0906,0.0010937083849143,0.0006918049351534,56814.50001157408
322,4FGL J1512.8-0906,0.0010079386830177,0.0006918049351534,56898.50001157408
323,4FGL J1512.8-0906,0.0010868792183666,0.0006918049351534,57045.50001157408
324,4FGL J1512.8-0906,0.0020706301808285,0.0006918049351534,57080.50001157408
325,4FGL J1512.8-0906,0.0007095388294555,0.0006918049351534,57535.50001157408
326,4FGL J1512.8-0906,0.0015843876842817,0.0006918049351534,57598.50001157408
327,4FGL J1512.8-0906,0.000960713260111,0.0006918049351534,57759.50001157408
328,4FGL J1512.8-0906,0.0007701139225629,0.0006918049351534,57787.50001157408
329,4FGL J1512.8-0906,0.0008276023867221,0.0006918049351534,57864.50001157408
330,4FGL J1512.8-0906,0.0006290935624944,0.0006918049351534,57990.50001157408
331,4FGL J1512.8-0906,0.0006840741406333,0.0006918049351534,58011.50001157408
332,4FGL J1512.8-0906,0.0008563080359399,0.0006918049351534,58221.50001157408
333,4FGL J1512.8-0906,0.001090930418861,0.0006918049351534,58333.50001157408
334,4FGL J1512.8-0906,0.0012905967289443,0.0006918049351534,58403.50001157408
335,4FGL J1512.8-0906,0.0012136239195499,0.0006918049351534,58494.50001157408
336,4FGL J1512.8-0906,0.0015303120496299,0.0006918049351534,58557.50001157408
337,4FGL J1512.8-0906,0.0008594332477499,0.0006918049351534,58683.50001157408
338,4FGL J1512.8-0906,0.0006290935624944,0.0006918049351534,58774.50001157408
