4FGL_name	redshift	SED type	nu_sync
4FGL J0058.0-3233	-3333	LSP	3.6307804E13
4FGL J0058.3+1723	-3333	HSP	1.99526228E16
4FGL J0058.4+3315	1.369	LSP	9.885531E12
4FGL J0058.6-1140	-3333		0.0
4FGL J0059.2+0006	0.719017	LSP	1.77827941E13
4FGL J0059.3-0152	0.144	HSP	9.2257143E16
4FGL J0059.5-3512	-3333		0.0
4FGL J0059.5-3338	0.874	LSP	1.47910841E13
4FGL J0100.3+0745	-3333	ISP	3.80189398E14
4FGL J0101.0-0059	0.67	ISP	1.58489326E14
4FGL J0101.7-5455	0.261		0.0
4FGL J0101.8-7543	1.017		0.0
4FGL J0102.0+1639	-3333	LSP	1.73780081E13
4FGL J0102.4+4214	0.874	LSP	6.3826347E13
4FGL J0102.4+0942	0.42		0.0
4FGL J0102.6-5639	-3333	LSP	2.41824338E13
4FGL J0102.7-2001	0.38	HSP	1.07151929E16
4FGL J0103.1+4954	-3333		0.0
4FGL J0103.5+1526	0.246		0.0
4FGL J0103.8+1321	0.49		0.0
4FGL J0104.8-2416	1.747	LSP	1.46217723E12
4FGL J0105.1+3929	0.44	LSP	2.51188646E13
4FGL J0106.9-4832	-3333	LSP	1.39636832E13
4FGL J0107.3-1210	-3333	ISP	2.72270124E14
4FGL J0107.4+0334	-3333	LSP	2.29086761E13
4FGL J0107.6+4950	-3333	ISP	1.0E14
4FGL J0108.1-0039	1.374626	LSP	1.01157941E13
4FGL J0108.6+0134	2.099	LSP	3.25087291E12
4FGL J0109.1+1815	0.145	ISP	2.39883285E14
4FGL J0109.3+2401	-3333	ISP	3.31131107E14
4FGL J0110.0-4019	0.313	HSP	2.01836641E16
4FGL J0110.2+4151	0.096	HSP	3.89045144E15
4FGL J0110.3-0431	-3333	LSP	3.31131472E13
4FGL J0110.7-1254	0.234	HSP	9.9999998E16
4FGL J0110.9+4344	-3333	ISP	2.98538278E14
4FGL J0111.4+0534	0.346	ISP	3.01995156E14
4FGL J0111.5-2546	-3333	ISP	3.98107162E14
4FGL J0112.0-6634	1.1888	LSP	5.8884363E12
4FGL J0112.1+2245	0.265	LSP	6.4268771E13
4FGL J0112.1-0321	0.77177	ISP	3.01995156E14
4FGL J0112.6-3158	-3333	ISP	3.7153524E14
4FGL J0112.8-7506	-3333	ISP	5.55904261E14
4FGL J0112.8+3208	0.603	LSP	7.3282455E12
4FGL J0113.1-3553	1.22	LSP	6.3095733E12
4FGL J0113.4+4948	0.389	LSP	2.08929607E13
4FGL J0113.7+0225	0.047	LSP	1.90546077E13
4FGL J0114.8+1326	0.583	ISP	6.3095734E14
4FGL J0114.9-3400	0.48	ISP	3.31131107E14
4FGL J0115.1+2622	-3333	ISP	1.20226444E14
4FGL J0115.1-0129	1.365	LSP	2.51188635E12
4FGL J0115.6+0356	-3333	ISP	5.19995985E14
4FGL J0115.8+2519	0.358	HSP	5.6493697E15
4FGL J0116.0-1136	0.67	LSP	6.3095733E12
4FGL J0116.0-2745	-3333	HSP	1.99526228E17
4FGL J0116.2-6153	-3333	ISP	6.6069348E14
4FGL J0116.5-2812	0.7		0.0
4FGL J0116.5-3046	1.414		0.0
4FGL J0117.5-2442	0.279		0.0
4FGL J0117.8-2109	1.49	LSP	5.2360045E12
4FGL J0118.7-0848	-3333	LSP	1.53108742E12
4FGL J0118.9-2141	1.165	LSP	5.0582467E12
4FGL J0119.0-1458	0.114699	HSP	1.21618602E16
4FGL J0119.4-5354	-3333	LSP	4.5708817E12
4FGL J0119.6+4158	0.109		0.0
4FGL J0119.9+4053	-3333		0.0
4FGL J0120.4-2701	-3333	ISP	1.41253757E14
4FGL J0121.7+5153	-3333		0.0
4FGL J0121.8+1147	0.571315	LSP	3.98107528E12
4FGL J0121.8-3916	0.39	HSP	1.58489313E15
4FGL J0122.1-3004	-3333		0.0
4FGL J0123.1+3421	0.272	HSP	4.3651584E17
4FGL J0123.7+4209	0.186		0.0
4FGL J0123.7-2311	0.404	HSP	9.0157115E17
4FGL J0124.8-0625	2.117	LSP	3.6307804E13
4FGL J0125.3-5112	1.104	LSP	5.3088491E12
4FGL J0125.3-2548	-3333	LSP	2.0417379E13
4FGL J0125.4+3200	-3333		0.0
4FGL J0125.7-0015	1.077		0.0
4FGL J0125.8+2605	-3333	LSP	2.51188415E13
4FGL J0126.0-2221	0.72	LSP	1.92752491E13
4FGL J0126.5-1553	-3333	ISP	5.49540864E14
4FGL J0127.1+3310	-3333	ISP	3.98107162E14
4FGL J0127.2-0819	0.36	LSP	2.29086761E13
4FGL J0127.2+0324	-3333	HSP	3.40408183E15
4FGL J0127.3-0148	-3333	ISP	2.23872318E14
4FGL J0127.4-4813	-3333	LSP	1.34896293E13
4FGL J0127.9+4857	0.067		0.0
4FGL J0128.2-1722	-3333	LSP	1.84077349E13
4FGL J0128.2+4400	-3333	LSP	1.77827941E13
4FGL J0128.5+4440	0.228	LSP	7.5857754E13
4FGL J0129.7+3436	-3333	LSP	6.9984198E13
4FGL J0129.8+1440	1.626359	LSP	5.3088443E12
4FGL J0130.4-2129	-3333	ISP	1.4454397E14
4FGL J0130.6+1844	-3333		0.0
4FGL J0132.7-1654	1.02	LSP	1.0964782E13
4FGL J0132.7-0804	0.1485	ISP	3.12607953E14
4FGL J0132.8-4413	-3333	ISP	4.63446936E14
4FGL J0132.8+4324	-3333	LSP	2.2646444E13
4FGL J0133.1-5201	0.925	LSP	4.36515845E12
4FGL J0133.2-4533	-3333	HSP	4.41570446E15
4FGL J0133.7-5527	-3333	LSP	2.26464188E13
4FGL J0134.3-3842	2.14	LSP	3.63078065E12
4FGL J0134.5+2637	-3333	HSP	4.7863008E15
4FGL J0135.1+0255	0.3722		0.0
4FGL J0136.5+3906	-3333	HSP	1.11173178E16
4FGL J0136.8+2032	-3333	LSP	8.7096274E13
4FGL J0137.0+4751	0.859	LSP	4.5185594E12
4FGL J0137.6-2430	0.835	LSP	3.84591777E12
4FGL J0138.0+2247	-3333	HSP	1.09647817E15
4FGL J0138.5-4613	0.090112		0.0
4FGL J0138.6+2923	-3333	LSP	2.65460415E13
4FGL J0139.0+2601	-3333	ISP	1.09647822E14
4FGL J0140.6-0758	0.49	HSP	3.34965444E16
4FGL J0140.6+8736	-3333	LSP	7.5857754E13
4FGL J0141.4-0928	0.73	LSP	1.73780081E13
4FGL J0142.7-0543	-3333	LSP	4.3651581E13
4FGL J0143.1-3622	-3333	LSP	6.1376199E12
4FGL J0143.3-0119	-3333	LSP	4.1927639E12
4FGL J0143.5-3156	0.3751	LSP	5.7543995E12
4FGL J0143.7-5846	-3333	HSP	3.8018939E16
4FGL J0144.6+2705	-3333	LSP	1.28824954E13
4FGL J0145.0-2732	1.148	LSP	3.49140314E12
4FGL J0145.9+2319	-3333	LSP	6.3826349E12
4FGL J0146.0-6746	-3333	ISP	8.6099377E14
4FGL J0146.3+4606	-3333		0.0
4FGL J0146.9-5202	0.098	ISP	8.5113803E14
4FGL J0147.6+1547	-3333	ISP	6.6069301E14
4FGL J0147.6-6028	-3333	HSP	2.29087092E16
4FGL J0147.6-0825	-3333	LSP	1.31825643E13
4FGL J0147.7-1321	-3333		0.0
4FGL J0148.6+0127	0.94	LSP	5.2480746E13
4FGL J0149.6-0734	-3333		0.0
4FGL J0150.5-3337	-3333	LSP	7.1779423E13
4FGL J0150.6-5448	-3333	HSP	3.98107176E15
4FGL J0151.0+0539	0.3	LSP	6.9183098E13
4FGL J0151.3+8601	0.15		0.0
4FGL J0151.4-3607	0.681	ISP	1.58489326E14
4FGL J0152.2+3714	0.761	LSP	2.75422873E13
4FGL J0152.2+2206	1.32	LSP	6.3826349E12
4FGL J0152.6+0147	0.08	HSP	3.8018939E16
4FGL J0153.0+7517	-3333	HSP	7.9432822E15
4FGL J0153.5-5107	1.582	LSP	8.3176378E12
4FGL J0153.9+0823	0.681	ISP	8.9125095E14
4FGL J0154.3-0236	0.082314	ISP	7.0794577E14
4FGL J0154.5-6604	-3333		0.0
4FGL J0155.0+4433	-3333	ISP	1.99526229E14
4FGL J0155.4-0625	-3333	LSP	1.01157941E13
4FGL J0156.1+1502	-3333		0.0
4FGL J0156.5+3914	0.456	LSP	1.1481536E13
4FGL J0156.6-1758	-3333	ISP	1.02329299E14
4FGL J0156.8-4744	0.29	HSP	2.2387211E15
4FGL J0156.9-5301	-3333	HSP	1.81970081E18
4FGL J0156.9+4648	-3333		0.0
4FGL J0156.9-3235	-3333		0.0
4FGL J0157.7-4614	2.287	LSP	2.75422878E12
4FGL J0158.2+2515	0.158189		0.0
4FGL J0158.5-5005	-3333	LSP	1.71790696E12
4FGL J0158.5-3932	-3333	ISP	5.8210323E14
4FGL J0158.8+0101	1.61	LSP	3.09029545E13
4FGL J0159.3-4523	-3333		0.0
4FGL J0159.5+1046	0.195	HSP	6.3095732E15
4FGL J0159.7-2740	-3333	ISP	6.6069348E14
4FGL J0200.3-4109	0.053877	HSP	3.89045144E15
4FGL J0200.6-6637	1.28	LSP	2.57039584E12
4FGL J0201.1+0036	0.298632	HSP	8.1283055E16
4FGL J0201.1-4347	-3333		0.0
4FGL J0202.1+3939	0.78	LSP	7.2443536E12
4FGL J0202.3-0605	0.189453	LSP	1.44543926E13
4FGL J0202.4+0849	-3333	HSP	5.4954085E15
4FGL J0202.6-0258	1.34441	LSP	1.0964782E13
4FGL J0202.7+4204	-3333	LSP	1.0964782E13
4FGL J0202.9-0225	-3333	HSP	1.07151929E16
4FGL J0203.6+7233	-3333	LSP	1.0964782E13
4FGL J0203.7+3042	0.761	LSP	1.01157941E13
4FGL J0204.0-3334	0.617		0.0
4FGL J0204.1-2919	-3333	LSP	2.08929607E13
4FGL J0204.3-3140	-3333	HSP	1.7782794E15
4FGL J0204.3+2417	0.21		0.0
4FGL J0204.8+1513	0.833	LSP	3.01995183E12
4FGL J0205.0-1700	1.74	LSP	2.78612122E12
4FGL J0205.2+3212	1.466	LSP	2.23872103E12
4FGL J0206.0-0958	0.165866		0.0
4FGL J0206.4-1151	1.663	LSP	6.9183099E12
4FGL J0206.4+3829	-3333		0.0
4FGL J0206.8-5744	-3333	ISP	4.60256581E14
4FGL J0207.4-3855	0.254	LSP	5.2480746E13
4FGL J0207.5-1049	-3333		0.0
4FGL J0207.5-2402	-3333		0.0
4FGL J0207.9+2203	-3333	ISP	1.4454397E14
4FGL J0207.9+0953	-3333	LSP	2.34963274E13
4FGL J0208.3-6838	-3333	LSP	6.4565421E13
4FGL J0208.5-0046	-3333	LSP	1.69044093E13
4FGL J0208.6+3523	0.318	HSP	2.18776164E16
4FGL J0209.3+4449	-3333	HSP	2.2908677E16
4FGL J0209.3-5228	0.163	HSP	1.38038424E16
4FGL J0209.9+7229	0.895	LSP	6.3095733E12
4FGL J0210.1+2518	-3333	ISP	7.5857759E14
4FGL J0210.5-1445	-3333	LSP	2.29086777E12
4FGL J0210.7-5101	1.003	LSP	8.6099378E12
4FGL J0211.1-0646	0.193	HSP	2.2387211E15
4FGL J0211.2+1051	0.2	ISP	1.66724725E14
4FGL J0212.2-2559	-3333	ISP	5.7543992E14
4FGL J0212.2-0219	0.169	ISP	5.24807456E14
4FGL J0212.4-3502	0.393	ISP	5.6234131E14
4FGL J0212.8-2721	-3333	LSP	6.9984198E13
4FGL J0212.9+2244	0.459	ISP	4.5185596E14
4FGL J0213.8-6949	-3333		0.0
4FGL J0214.1-4733	0.172	HSP	5.6885296E15
4FGL J0214.2-7025	-3333	LSP	4.13047508E12
4FGL J0214.4-5822	-3333		0.0
4FGL J0214.6-4333	-3333		0.0
4FGL J0214.8-6150	-3333	LSP	4.16869384E12
4FGL J0214.9-3722	-3333	HSP	1.7782794E15
4FGL J0215.2-1619	0.282555		0.0
4FGL J0215.3+7555	-3333	HSP	1.25892538E15
4FGL J0215.9+0521	-3333	LSP	3.2359383E12
4FGL J0215.9+0300	-3333	HSP	9.9999999E14
4FGL J0216.5+2313	0.288	HSP	1.56675103E16
4FGL J0216.6-1015	-3333	LSP	9.3325435E12
4FGL J0216.8-6635	0.33	HSP	3.42767784E15
4FGL J0216.8+0510	-3333	ISP	1.99526229E14
4FGL J0217.0-0821	0.607	LSP	5.7543995E12
4FGL J0217.2+0837	0.085	LSP	3.6307804E13
4FGL J0217.4+7352	2.367	LSP	1.38038424E12
4FGL J0217.8+0144	1.715	LSP	7.3282455E12
4FGL J0218.7+2640	-3333		0.0
4FGL J0218.9-2305	-3333	ISP	1.09647822E14
4FGL J0218.9+3643	-3333		0.0
4FGL J0219.0+2443	-3333	HSP	2.66072499E15
4FGL J0219.1-1724	0.128	HSP	1.77827945E16
4FGL J0219.5+0724	-3333	LSP	2.51188646E13
4FGL J0220.2+3246	1.62	LSP	1.19674052E13
4FGL J0220.8-0841	0.43	HSP	1.41253757E15
4FGL J0221.1+3556	0.944	LSP	7.0307231E12
4FGL J0221.2-1312	-3333	LSP	5.3088443E12
4FGL J0221.5+2513	0.4818	ISP	1.4454397E14
4FGL J0221.8+3730	-3333	LSP	1.6595869E13
4FGL J0222.0-1616	0.698	LSP	7.6736151E13
4FGL J0222.6+4302	0.444	ISP	7.0794577E14
4FGL J0223.0-3447	1.49	LSP	1.47910833E12
4FGL J0223.1-1117	0.042109	HSP	2.34422885E15
4FGL J0223.2-1653	1.015	LSP	3.8018941E13
4FGL J0223.5+3912	-3333	LSP	3.6307804E13
4FGL J0223.5-0928	1.425		0.0
4FGL J0224.0-7941	-3333	LSP	9.6605089E13
4FGL J0224.0-1850	-3333	ISP	2.07969665E14
4FGL J0224.2+0700	0.511	LSP	7.9432825E12
4FGL J0224.2+1616	-3333	ISP	1.33352141E14
4FGL J0224.9+1843	2.69	LSP	3.76703812E12
4FGL J0225.1-2604	-3333	LSP	3.67282304E12
4FGL J0225.5-5618	-3333		0.0
4FGL J0225.6-4502	-3333	LSP	8.6099378E12
4FGL J0225.8+1310	-3333		0.0
4FGL J0226.3-1845	-3333	LSP	2.01836632E12
4FGL J0226.5+0938	2.605	LSP	8.9125091E12
4FGL J0226.5-4441	-3333	HSP	5.7543993E16
4FGL J0226.6-0553	-3333		0.0
4FGL J0226.7+2312	-3333	ISP	1.02329299E14
4FGL J0227.0-1739	-3333		0.0
4FGL J0227.2+3928	1.571	LSP	2.08929607E13
4FGL J0227.3+0201	0.457		0.0
4FGL J0227.8+2246	0.428203	LSP	2.08929607E13
4FGL J0228.0-3026	0.3028	LSP	1.0964782E13
4FGL J0228.1+8208	-3333		0.0
4FGL J0228.2-3102	-3333	LSP	3.6728228E13
4FGL J0228.3-5547	2.464	LSP	5.3088443E12
4FGL J0228.5-2234	-3333	LSP	2.08929607E13
4FGL J0229.5-3644	2.115	LSP	3.01995183E12
4FGL J0230.0-5236	-3333	HSP	2.39883346E15
4FGL J0230.8+4032	1.019	LSP	5.3088443E12
4FGL J0231.2-5754	0.031989	LSP	8.3176379E13
4FGL J0231.2-4745	0.765	LSP	1.30617088E12
4FGL J0231.8+1322	2.065	LSP	2.18776168E12
4FGL J0232.5-1118	0.2087	HSP	5.5590427E15
4FGL J0232.8+2018	0.139	HSP	1.1220184E19
4FGL J0232.9+2608	-3333	ISP	3.01995156E14
4FGL J0233.0+3740	-3333		0.0
4FGL J0233.5+0654	-3333	HSP	3.54813395E15
4FGL J0233.9+8041	-3333	HSP	3.34965444E16
4FGL J0234.3-0628	-3333		0.0
4FGL J0235.6-2939	0.66	HSP	6.3095732E15
4FGL J0236.8-6136	0.467	LSP	1.12201847E13
4FGL J0237.1-0714	0.359792		0.0
4FGL J0237.3+2000	-3333		0.0
4FGL J0237.6-3602	0.411	HSP	1.07151929E16
4FGL J0237.6+0923	-3333	LSP	2.2646444E13
4FGL J0237.7+0206	0.021592	ISP	2.51188646E14
4FGL J0237.8+2848	1.206	LSP	5.7543995E12
4FGL J0238.1-3905	0.2	HSP	1.41253757E15
4FGL J0238.2+1531	-3333	LSP	1.02329295E13
4FGL J0238.4-3116	0.232	HSP	2.01836641E16
4FGL J0238.6+1637	0.94	LSP	1.07646519E13
4FGL J0238.7+2555	0.584	HSP	3.16227758E15
4FGL J0239.5+1326	-3333		0.0
4FGL J0239.5-1353	-3333		0.0
4FGL J0239.7+0415	0.978	LSP	1.28824954E13
4FGL J0240.6+3528	-3333		0.0
4FGL J0240.8-3401	-3333	ISP	1.38675585E14
4FGL J0241.0-0505	-3333	LSP	4.7863011E13
4FGL J0241.9-1603	-3333	HSP	6.3095732E15
4FGL J0242.3+1102	2.68	LSP	2.57039584E12
4FGL J0242.6+1735	0.551		0.0
4FGL J0242.9+0045	0.409	ISP	5.8210323E14
4FGL J0243.2-0550	1.805	LSP	3.27340707E12
4FGL J0243.4+7119	-3333	LSP	1.51356126E13
4FGL J0243.7+0321	-3333	LSP	3.6728228E13
4FGL J0244.6-5819	0.265	HSP	1.08392691E17
4FGL J0244.7+1316	-3333	LSP	2.74789407E13
4FGL J0245.1-0257	-3333	LSP	7.12853E13
4FGL J0245.4-5950	-3333	LSP	5.7543993E13
4FGL J0245.4+2408	2.243	LSP	4.7863012E12
4FGL J0245.5-4502	0.2828	ISP	5.19995985E14
4FGL J0245.9-4650	1.385	LSP	1.07646519E13
4FGL J0246.6-3348	-3333		0.0
4FGL J0248.0+2232	-3333		0.0
4FGL J0249.7+4500	-3333	HSP	4.41570903E15
4FGL J0250.2-8224	-3333	LSP	1.73780081E13
4FGL J0250.3-3422	-3333	LSP	4.3151931E13
4FGL J0250.6+1712	1.1003	HSP	1.14815359E17
4FGL J0250.6+8435	-3333	ISP	2.51188646E14
4FGL J0251.5-5958	1.373	LSP	2.01836632E12
4FGL J0252.8-2219	1.419	LSP	4.7863012E12
4FGL J0252.9+3834	1.122	LSP	4.5185594E12
4FGL J0253.2-5441	0.539	LSP	4.12097525E12
4FGL J0253.2-0124	1.479987	ISP	2.23872117E14
4FGL J0253.5+3216	0.859	LSP	6.2373484E12
4FGL J0254.5-7511	-3333	LSP	3.89045289E12
4FGL J0255.8+0534	0.680821	LSP	2.08929607E13
4FGL J0256.3+0334	0.4	ISP	4.20726641E14
4FGL J0257.0+3358	-3333	HSP	4.1114973E15
4FGL J0257.9-1215	1.391	LSP	2.51188646E13
4FGL J0258.1+2030	-3333	LSP	2.78612117E13
4FGL J0259.4+0308	-3333	HSP	7.3282455E15
4FGL J0259.4+0746	0.893	LSP	1.28824954E13
4FGL J0259.5+1924	0.545		0.0
4FGL J0259.5-1705	-3333		0.0
4FGL J0301.0-1652	0.278	LSP	3.9810719E13
4FGL J0301.2+2546	-3333	ISP	3.31131107E14
4FGL J0301.4-3124	0.313	LSP	2.08929607E13
4FGL J0301.6-7155	0.8232	LSP	6.7608296E12
4FGL J0301.9-2731	-3333	ISP	1.04712855E14
4FGL J0303.2+3149	-3333		0.0
4FGL J0303.3-7913	1.115	LSP	1.21618605E13
4FGL J0303.3+0555	0.196	HSP	1.01859144E16
4FGL J0303.4-2407	0.266	HSP	2.51188639E15
4FGL J0303.4-5232	-3333	LSP	6.7608296E12
4FGL J0303.6-6211	1.351	LSP	3.54813398E12
