,Name,Photon Flux (ph/cm2/s),Fluence (ph/cm2),Photon Count,Background Counts,Duration (s),Duration (weeks),MDP99,Start Time (MJD),Start Time (s)
270,4FGL J1332.0-0509,2.4750348925757527e-07,0.19245871324669053,5.142177087623853,7776.0,777600.0,1.2857142857142858,24530.74195055175,55089.50001157408,4759732801.0
271,4FGL J1332.0-0509,1.679972314070254e-07,0.13063464714210293,3.4903407492022183,7776.0,777600.0,1.2857142857142858,36136.30830136069,55200.50001157408,4769323201.0
272,4FGL J1332.0-0509,1.705400754747402e-07,0.13261196268915798,3.5431713357189016,7776.0,777600.0,1.2857142857142858,35597.61741861326,55239.50001157408,4772692801.0
273,4FGL J1332.0-0509,2.3360260835406764e-07,0.24219918434149734,4.85336988133265,10368.0,1036800.0,1.7142857142857142,30008.325790147926,55338.50001157408,4781246401.0
274,4FGL J1332.0-0509,8.45919459859795e-08,0.04385246479913177,1.7574975114550018,5184.0,518400.0,0.8571428571428571,58593.22745921608,55377.50001157408,4784616001.0
275,4FGL J1332.0-0509,4.4262439072022536e-07,0.45891296829872963,9.196044093004028,10368.0,1036800.0,1.7142857142857142,15840.72312825291,55437.50001157408,4789800001.0
276,4FGL J1332.0-0509,2.246348449419267e-06,10.480563325610532,46.670540128838134,46656.0,4665600.0,7.714285714285714,6621.617162832147,55452.50001157408,4791096001.0
277,4FGL J1332.0-0509,1.00527102143659e-07,0.05211324975127282,2.088569186959551,5184.0,518400.0,0.8571428571428571,49306.8360898499,55515.50001157408,4796539201.0
278,4FGL J1332.0-0509,9.493284519468641e-08,0.5905582433871052,1.9723418966228476,62208.0,6220800.0,10.285714285714286,180835.56252685766,58332.50001157408,5039928001.0
279,4FGL J1332.0-0509,1.5782585513616613e-07,0.08181692330258852,3.2790184031354843,5184.0,518400.0,0.8571428571428571,31409.569775029333,59388.50001157408,5131166401.0
280,4FGL J1332.0-0509,7.357295502588197e-08,0.038140219885417215,1.5285649698827068,5184.0,518400.0,0.8571428571428571,67367.22377489503,59436.50001157408,5135313601.0
281,4FGL J1222.5+0414,5.9166147817857115e-06,866.4764015629539,122.5419332364343,1464480.0,146448000.0,242.14285714285714,14122.48758782174,54890.00001157408,4742496001.0
282,4FGL J1222.5+0414,7.132933859187793e-07,15.437951410117325,14.773371885615347,216432.0,21643200.0,35.785714285714285,45033.11255712439,56606.00001157408,4890758401.0
283,4FGL J1222.5+0414,9.610250639432154e-07,37.11555678953813,19.904265119103496,386208.0,38620800.0,63.857142857142854,44648.997640024245,56882.00001157408,4914604801.0
284,4FGL J1222.5+0414,2.7062150558458845e-07,3.7878350893663675,5.604975766173018,139968.0,13996800.0,23.142857142857142,95452.07464342396,57384.50001157408,4958020801.0
285,4FGL J1222.5+0414,8.677562602519101e-07,53.756459015093526,17.97252882453059,619488.0,61948800.0,102.42857142857143,62625.26801205727,57560.00001157408,4973184001.0
286,4FGL J1222.5+0414,1.6871396507422069e-06,110.20126256303976,34.94318323346954,653184.0,65318400.0,108.0,33075.236425183975,58305.50001157408,5037595201.0
287,4FGL J1222.5+0414,1.6291762329775418e-06,117.8168118049903,33.74267423772766,723168.0,72316800.0,119.57142857142857,36040.123482661285,59070.50001157408,5103691201.0
288,4FGL J1159.5+2914,3.3330645793384576e-05,51.835820337871695,734.0199887992637,15552.0,1555200.0,2.5714285714285716,248.61975402636517,55359.50001157408,4783060801.0
289,4FGL J1159.5+2914,0.00014925022162025803,735.0274914354468,3286.844385827451,49248.0,4924800.0,8.142857142857142,99.7196210519364,55419.50001157408,4788244801.0
290,4FGL J1159.5+2914,5.51597598398849e-05,157.27150725547983,1214.748929583551,28512.0,2851200.0,4.714285714285714,202.96596594868547,55533.50001157408,4798094401.0
291,4FGL J1159.5+2914,4.007292302431673e-05,51.93450823951448,882.5009479804573,12960.0,1296000.0,2.142857142857143,190.64619324078643,57339.50001157408,4954132801.0
292,4FGL J1159.5+2914,6.155302507298056e-06,3.190908819783312,135.55438155836,5184.0,518400.0,0.8571428571428571,769.4140349060829,57402.50001157408,4959576001.0
293,4FGL J1159.5+2914,1.9560536060563153e-05,20.280363787591877,430.76946510685025,10368.0,1036800.0,1.7142857142857142,344.9675636124671,57444.50001157408,4963204801.0
294,4FGL J1159.5+2914,2.484330857326999e-05,32.1969279109579,547.10866371235,12960.0,1296000.0,2.142857142857143,303.76913342434193,57741.50001157408,4988865601.0
295,4FGL J1159.5+2914,1.3421097734984938e-05,10.436245598724287,295.56445051126946,7776.0,777600.0,1.2857142857142858,434.67303501076213,57879.50001157408,5000788801.0
296,4FGL J1159.5+2914,4.483217754026884e-05,58.10250209218841,987.3110368142408,12960.0,1296000.0,2.142857142857143,171.05165820377442,57942.50001157408,5006232001.0
297,4FGL J1159.5+2914,0.0005320846548834455,5516.653701831563,11717.767931616996,103680.0,10368000.0,17.142857142857142,41.456234201749425,58020.50001157408,5012971201.0
298,4FGL J1159.5+2914,3.705872849754706e-05,57.63373455938519,816.1212250523943,15552.0,1555200.0,2.5714285714285716,224.1716978292311,58161.50001157408,5025153601.0
299,4FGL J1159.5+2914,0.00017009575640012823,969.9540412960912,3745.9125749194222,57024.0,5702400.0,9.428571428571429,94.10716838125822,58200.50001157408,5028523201.0
300,4FGL J1159.5+2914,7.011968320169436e-06,3.6350043771758354,154.42019754844105,5184.0,518400.0,0.8571428571428571,676.6098427399539,58326.50001157408,5039409601.0
301,4FGL J1159.5+2914,2.403423530555813e-05,31.14836895600334,529.2909486106067,12960.0,1296000.0,2.142857142857143,313.7878556091611,59226.50001157408,5117169601.0
302,4FGL J1159.5+2914,1.3722517187661904e-05,10.670629365125896,302.2024228040758,7776.0,777600.0,1.2857142857142858,425.30007703750925,59295.50001157408,5123131201.0
303,4FGL J1159.5+2914,0.00040320404259146236,3344.3356108706253,8879.510725998138,82944.0,8294400.0,13.714285714285714,48.8004636179481,59313.50001157408,5124686401.0
304,4FGL J1159.5+2914,0.0005923526812371189,10747.647048366285,13045.013023215473,181440.0,18144000.0,30.0,48.34311052197773,59457.50001157408,5137128001.0
305,4FGL J1159.5+2914,0.00020230004529140416,1310.904293488299,4455.127509361358,64800.0,6480000.0,10.714285714285714,84.46987775272135,59688.50001157408,5157086401.0
306,4FGL J1159.5+2914,0.0009014345336847686,15771.49860134871,19851.729559044157,174960.0,17496000.0,28.928571428571427,31.794005011295496,59790.50001157408,5165899201.0
