Source_Name,Flux1000,Energy_Flux100,PL_Index,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,ASSOC1
4FGL J0024.1+2402,2.10305e-10,2.35901e-12,2.13995,18.4923,0.451392,0.250005,,
4FGL J0024.4+4647,1.22093e-10,1.89028e-12,2.54066,25.5893,0.693599,0.269636,bcu,B3 0021+464
4FGL J0024.7+0349,1.62957e-10,2.13514e-12,2.39132,88.1202,1.90357,0.504396,fsrq,GB6 J0024+0349
4FGL J0025.2-2231,1.08919e-10,1.61012e-12,2.50314,9.34484,0.0686898,1.48,fsrq,PMN J0025-2228
4FGL J0025.3+6408,8.60636e-10,9.78181e-12,2.18182,4.23722,0.0,10.0,snr,Tycho
4FGL J0025.4-4838,1.8248e-10,2.04769e-12,2.1415,14.5091,0.468668,0.266716,,
4FGL J0025.5-5936,1.35843e-10,1.92359e-12,2.46602,16.1984,0.613392,0.316727,,
4FGL J0025.7-4801,3.0036e-10,3.49037e-12,2.23076,96.7233,1.20814,0.306917,bcu,SUMSS J002545-480356
4FGL J0026.1-0732,1.50053e-10,1.70368e-12,1.94474,8.85603,0.0,10.0,,
4FGL J0026.6-4600,2.00805e-10,2.27625e-12,1.94914,13.7803,0.407315,0.243656,bll,1RXS J002636.3-460101
4FGL J0028.1+7505,3.6534e-10,2.15562e-12,2.13768,11.2892,0.196687,0.292983,bcu,GB6 J0028+7506
4FGL J0028.4+2001,6.04824e-10,8.1009e-12,2.41375,81.1226,0.567848,0.150882,fsrq,TXS 0025+197
4FGL J0028.8-0112,1.119e-10,1.25769e-12,2.14758,13.7585,0.510212,0.460912,bll,PKS 0026-014
4FGL J0028.9+3553,2.43718e-10,3.02774e-12,2.33081,17.6235,0.405762,0.205148,bcu,GB6 J0028+3550
4FGL J0029.0-7044,4.6776e-10,5.40095e-12,2.21813,45.4702,0.448783,0.13526,bll,PKS 0026-710
4FGL J0029.4+2051,8.90769e-11,1.26414e-12,1.65668,7.12382,0.0,10.0,bcu,NVSS J002928+205332
4FGL J0030.2-1647,2.8775e-10,3.59674e-12,1.78636,34.8296,0.672993,0.221815,bll,2MASS J00302045-1647130
4FGL J0030.3-4224,1.0299e-09,1.56088e-11,2.52362,78.6084,0.298344,0.0789371,fsrq,PKS 0027-426
4FGL J0030.4+0451,1.00422e-08,5.95021e-11,2.08337,9.16207,0.0,10.0,PSR,PSR J0030+0451
4FGL J0030.6-0212,1.53118e-09,1.7152e-11,2.40333,725.42,0.95931,0.228718,bcu,PKS B0027-024
4FGL J0030.6+0539,1.39591e-10,4.14111e-12,2.95776,10.8935,0.202224,0.248587,,
4FGL J0030.9-3618,7.81451e-11,9.12198e-13,1.88498,7.46815,0.0,10.0,,
4FGL J0031.0-2327,2.28356e-10,1.01362e-12,2.14938,6.63332,0.0,10.0,,
4FGL J0031.3+0726,1.79461e-10,2.0625e-12,1.91562,13.1532,0.305909,0.450339,bll,NVSS J003119+072456
4FGL J0031.5-5648,1.38845e-10,1.55528e-12,1.98939,14.5491,0.405674,0.423657,,
4FGL J0032.3-5522,4.47245e-10,3.77374e-12,2.28285,292.308,1.51254,0.365717,bcu,SUMSS J003210-552228
4FGL J0032.3-5539,3.21038e-11,6.36898e-13,1.39856,14.0473,0.0,10.0,,
4FGL J0032.4-2849,1.64243e-10,2.09903e-12,2.36428,14.1119,0.443072,0.255796,bll,PMN J0032-2849
4FGL J0033.3-2040,6.93567e-11,8.53702e-13,1.80553,4.63644,0.0,10.0,bll,RBS 0075
4FGL J0033.5-1921,2.78797e-09,2.98259e-11,1.7603,74.2456,0.256451,0.0696977,bll,KUV 00311-1938
4FGL J0033.9+3858,2.42388e-10,3.40041e-12,2.45763,28.3225,0.653356,0.217225,bcu,MG3 J003408+3901
4FGL J0034.0-4116,1.93042e-10,3.13411e-12,2.57721,45.4384,0.825911,0.23874,bcu,PKS 0031-415
4FGL J0034.3-0534,2.70846e-09,2.07085e-11,2.20816,5.71799,0.0,10.0,PSR,PSR J0034-0534
4FGL J0034.6+6438,5.57158e-10,7.56968e-12,2.4277,10.1387,0.200504,0.314863,,
4FGL J0035.0-5728,1.14032e-10,2.21308e-12,2.70211,12.3909,0.302864,0.258724,bcu,PMN J0035-5726
4FGL J0035.2+1514,1.16255e-09,1.14705e-11,1.85482,28.936,0.269753,0.0935293,bll,RX J0035.2+1515
4FGL J0035.2-1739,8.25404e-11,1.04399e-12,1.77236,2.68536,0.0,10.0,,
4FGL J0035.8-0837,1.17818e-10,1.31227e-12,2.10297,17.3461,0.515668,0.384874,bll,PMN J0035-0836
4FGL J0035.8+6131,3.64601e-10,7.10044e-12,2.70437,26.3116,0.626207,0.222777,bcu,LQAC 008+061
4FGL J0035.9+5950,3.32598e-09,3.9876e-11,1.76166,197.97,0.471792,0.116199,bll,1ES 0033+595
