,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph),Background Counts,Duration (s),Coverage,MDP99 (%),Asymmetry
5466,4FGL J1224.9+2122,FSRQ,8.411771339439679e-06,239.10964738637654,3241.8714842660183,7106400.0,28425600.0,0.053409090909090906,1176.1537715525449,0.5957446808510638
5467,4FGL J1224.9+2122,FSRQ,5.0744338152723495e-06,9.207052714430151,124.83010190221947,453600.0,1814400.0,0.003409090909090909,7716.3689672946675,0.0
5468,4FGL J1224.9+2122,FSRQ,6.59402102265661e-06,19.940319572513587,270.3527612368789,756000.0,3024000.0,0.005681818181818182,4599.851016651492,0.0
5469,4FGL J1224.9+2122,FSRQ,8.359101109212154e-06,91.0005183153272,1233.793736909234,2721600.0,10886400.0,0.020454545454545454,1912.511442496473,0.5
5470,4FGL J1224.9+2122,FSRQ,5.431015650940137e-06,3.2846782656885947,44.53398230025127,151200.0,604800.0,0.0011363636363636363,12487.754416654012,0.0
5471,4FGL J1224.9+2122,FSRQ,7.385358404119351e-06,8.933329525622767,121.11893671053184,302400.0,1209600.0,0.0022727272727272726,6493.8437828125725,0.0
5472,4FGL J1224.9+2122,FSRQ,6.199038066224601e-06,3.7491782224526387,50.83171717099387,151200.0,604800.0,0.0011363636363636363,10940.826779935793,0.0
5473,4FGL J1153.4+4931,FSRQ,1.9308447593220627e-06,20.436060932664713,277.928188090896,2646000.0,10584000.0,0.02002288329519451,8369.917332375251,0.0
5474,4FGL J1153.4+4931,FSRQ,6.818675331659503e-06,136.08984973939303,1850.8070356736762,4989600.0,19958400.0,0.03775743707093822,1726.1887956197022,-0.30303030303030304
5475,4FGL J1153.4+4931,FSRQ,2.314667848353643e-06,8.399466688105699,114.23182604744078,907200.0,3628800.0,0.006864988558352402,11924.159587138909,0.0
5476,4FGL J0841.3+7053,FSRQ,3.011486660044285e-05,145.70777055958268,1984.6228554257586,1209600.0,4838400.0,0.00909090909090909,793.112738547969,-0.125
5477,4FGL J0841.3+7053,FSRQ,2.8095670564014683e-05,67.96904622846432,925.7771365827055,604800.0,2419200.0,0.004545454545454545,1202.1747841630831,0.0
5478,4FGL J0841.3+7053,FSRQ,2.004773207596531e-05,48.49947343817527,660.5904619352981,604800.0,2419200.0,0.004545454545454545,1684.4056083175283,-0.75
5479,4FGL J0841.3+7053,FSRQ,4.4602309705238266e-05,337.1934613716013,4592.767067728576,1890000.0,7560000.0,0.014204545454545454,428.567817282565,-0.68
5480,4FGL J0841.3+7053,FSRQ,2.034580387181899e-05,36.915426545028375,502.8091429694571,453600.0,1814400.0,0.003409090909090909,1916.505039245241,0.0
5481,4FGL J0841.3+7053,FSRQ,2.9268727308987238e-05,53.10517882942644,723.3227935723191,453600.0,1814400.0,0.003409090909090909,1332.5588640891224,0.0
5482,4FGL J0841.3+7053,FSRQ,2.4705640119558706e-05,388.49124975203677,5291.472173582731,3931200.0,15724800.0,0.029545454545454545,536.1844049901608,0.6153846153846154
5483,4FGL J0841.3+7053,FSRQ,2.3422674022566663e-05,28.332066497696637,385.8988885550086,302400.0,1209600.0,0.0022727272727272726,2039.0615368837916,0.0
5484,4FGL J0841.3+7053,FSRQ,2.1807317193424138e-05,39.56719631574875,538.9277581544087,453600.0,1814400.0,0.003409090909090909,1788.1331291327006,0.0
5485,4FGL J0841.3+7053,FSRQ,2.8514894122054057e-05,258.6871194752744,3523.4659602793527,2268000.0,9072000.0,0.017045454545454544,611.6804090424102,0.0
5486,4FGL J0841.3+7053,FSRQ,3.425489910299802e-05,921.9226524984475,12557.11181398505,6728400.0,26913600.0,0.05056818181818182,295.66986163203444,-0.7078651685393258
5487,4FGL J0841.3+7053,FSRQ,1.4076680939670605e-05,17.027153264625564,231.91952908232042,302400.0,1209600.0,0.0022727272727272726,3392.0018715434244,0.0
5488,4FGL J0841.3+7053,FSRQ,1.9589406626426854e-05,53.314529074483325,726.1742631921837,680400.0,2721600.0,0.005113636363636364,1625.2080677048482,0.0
5489,4FGL J0841.3+7053,FSRQ,2.290345218462799e-05,55.40803152505203,754.6889593908297,604800.0,2419200.0,0.004545454545454545,1474.4998290525054,0.0
5490,4FGL J0841.3+7053,FSRQ,1.817276432785344e-05,43.96355146194305,598.8086201715652,604800.0,2419200.0,0.004545454545454545,1858.0986801034549,0.0
5491,4FGL J0841.3+7053,FSRQ,1.2992084211532049e-05,39.28806265567292,535.1257986612558,756000.0,3024000.0,0.005681818181818182,2324.3134587903687,0.0
5492,4FGL J0841.3+7053,FSRQ,1.7230472844186968e-05,15.631484964246418,212.9097316165565,226800.0,907200.0,0.0017045454545454545,3200.1165997758862,0.0
5493,4FGL J0841.3+7053,FSRQ,3.419171955018352e-05,62.03745595185298,844.9854973532085,453600.0,1814400.0,0.003409090909090909,1140.8470930946412,0.6666666666666666
5494,4FGL J0530.9+1332,FSRQ,2.667233964214368e-06,50.814007699040765,690.8838674490513,4762800.0,19051200.0,0.03575482406356413,4517.453125794352,-0.6825396825396826
5495,4FGL J0530.9+1332,FSRQ,3.902658281812635e-06,70.80983186520844,962.753632466895,4536000.0,18144000.0,0.0340522133938706,3163.7596186565206,0.0
5496,4FGL J0530.9+1332,FSRQ,6.23390857652323e-06,58.43915255975937,794.5578307867623,2343600.0,9374400.0,0.017593643586833144,2755.6615564282865,0.0
5497,4FGL J0530.9+1332,FSRQ,4.27848278645725e-06,32.34532986561681,439.7776834259522,1890000.0,7560000.0,0.014188422247446084,4470.790028997315,0.0
5498,4FGL J0530.9+1332,FSRQ,1.9961070088520286e-06,73.03835389669926,993.053346847441,9147600.0,36590400.0,0.06867196367763904,4355.526023618113,0.0
5499,4FGL J0530.9+1332,FSRQ,3.8724141631601276e-06,52.69581193228302,716.4694932502011,3402000.0,13608000.0,0.02553916004540295,3681.723892238371,0.0
5500,4FGL J0403.9-3605,FSRQ,6.9027468824963965e-06,8.349562629067641,113.1827028651553,302400.0,1209600.0,0.0022727272727272726,6949.093080627942,0.0
5501,4FGL J0403.9-3605,FSRQ,5.954377015955173e-06,14.404828876998755,195.26501435331062,604800.0,2419200.0,0.004545454545454545,5696.230929534498,0.5
5502,4FGL J0403.9-3605,FSRQ,6.312072682513644e-06,57.263123375763776,776.2316861492334,2268000.0,9072000.0,0.017045454545454544,2774.8563319195664,0.0
