,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph) (0.2-5 MeV),Background Counts,Duration (s),Start Time (MJD),Coverage,MDP99 (%),Asymmetry,Average Flux of Entire Source (0.2-5 MeV)
26,4FGL J0009.3+5030,BLL,6.611981175571745e-07,12.396671266455954,149.25085380573987,468720.0,18748800.0,60573.50001157408,0.03526734926052332,6560.6231068193865,0.0,3.176770229028699e-07
27,4FGL J0010.6+2043,FSRQ,0.00021310427048285433,19526.14761238659,264793.61039629026,2290680.0,91627200.0,56594.00001157408,0.19104665825977302,8.633049609185642,0.0,0.00017092520824645493
28,4FGL J0010.6+2043,FSRQ,0.00026992749157858366,33466.690115879115,453840.9664677497,3099600.0,123984000.0,58036.00001157408,0.25851197982345525,5.939595841359966,0.0,0.00017092520824645493
29,4FGL J0010.6+2043,FSRQ,0.00021889291462774156,1456.250782435439,19748.181258185807,166320.0,6652800.0,59873.50001157408,0.013871374527112233,31.23525019735019,-0.9090909090909091,0.00017092520824645493
30,4FGL J0010.6-3025,FSRQ,1.0584588723994019e-06,52.1727079712134,585.5203414599237,1232280.0,49291200.0,55477.50001157408,0.0930365296803653,2711.7640779425797,0.0,6.248601590615976e-07
31,4FGL J0010.6-3025,FSRQ,6.848686975492131e-07,20.503325119749324,230.10333164618075,748440.0,29937600.0,56247.50001157408,0.05650684931506849,5377.227066772773,0.9494949494949495,6.248601590615976e-07
32,4FGL J0010.6-3025,FSRQ,6.535558151493711e-07,89.72641643953109,1006.9755631744658,3432240.0,137289600.0,58288.00001157408,0.2591324200913242,2631.2955370417594,-0.9911894273127754,6.248601590615976e-07
33,4FGL J0011.4+0057,FSRQ,5.110988166070497e-06,47.91244746401127,589.5475855287577,234360.0,9374400.0,54812.50001157408,0.018065268065268064,1175.7215511188501,0.0,2.478521369690813e-06
34,4FGL J0011.4+0057,FSRQ,3.0160255633604503e-06,511.6578791320723,6295.7891576224665,4241160.0,169646400.0,55579.00001157408,0.3269230769230769,468.11256192133044,0.9536541889483066,2.478521369690813e-06
35,4FGL J0011.4+0057,FSRQ,nan,nan,,83160.0,3326400.0,57556.50001157408,0.00641025641025641,,0.0,2.478521369690813e-06
36,4FGL J0011.4+0057,FSRQ,nan,nan,,15120.0,604800.0,58557.50001157408,0.0011655011655011655,,0.0,2.478521369690813e-06
37,4FGL J0011.4+0057,FSRQ,2.7574609271330957e-06,260.16312952189503,3201.2254220251793,2358720.0,94348800.0,59597.00001157408,0.18181818181818182,686.5188792662303,-0.8846153846153846,2.478521369690813e-06
38,4FGL J0014.1+1910,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
39,4FGL J0014.3-0500,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
40,4FGL J0014.9+3212,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
41,4FGL J0016.2-0016,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
42,4FGL J0017.0-0649,BCU,7.217216152805906e-06,831.5272287158408,10826.374259614906,2880360.0,115214400.0,56233.50001157408,0.2199769053117783,224.59032595319388,0.0,6.009617321163197e-06
43,4FGL J0017.0-0649,BCU,7.935771254080877e-06,251.976608859576,3280.7020359337007,793800.0,31752000.0,58025.50001157408,0.06062355658198614,389.1530124140008,0.0,6.009617321163197e-06
44,4FGL J0017.0-0649,BCU,nan,nan,,589680.0,23587200.0,58484.00001157408,0.04503464203233257,,0.0,6.009617321163197e-06
45,4FGL J0017.5-0514,FSRQ,4.042004619945859e-06,55.00359886822325,662.7402375631041,340200.0,13608000.0,54683.00001157408,0.025597269624573378,1259.744479529615,0.8,2.8163183621970202e-06
46,4FGL J0017.5-0514,FSRQ,3.4707950998289526e-06,87.11418036962685,1049.6417285639795,627480.0,25099200.0,56097.00001157408,0.047212741751990896,1080.0847437737275,0.0,2.8163183621970202e-06
47,4FGL J0017.5-0514,FSRQ,3.962335962166554e-06,9.585683159673327,115.49822311930039,60480.0,2419200.0,56429.50001157408,0.004550625711035267,3047.761052652106,-0.5,2.8163183621970202e-06
48,4FGL J0017.5-0514,FSRQ,5.086441292052603e-06,84.59769156941888,1019.3204692356519,415800.0,16632000.0,56660.50001157408,0.03128555176336746,905.7309587685195,0.0,2.8163183621970202e-06
49,4FGL J0017.5-0514,FSRQ,3.1874885657477873e-06,308.4468935302819,3716.4871335711523,2419200.0,96768000.0,58550.50001157408,0.1820250284414107,598.925254971859,0.95,2.8163183621970202e-06
50,4FGL J0017.5-0514,FSRQ,3.872118840987898e-06,11.709287375147404,141.08560269468273,75600.0,3024000.0,59747.50001157408,0.005688282138794084,2789.453348275737,0.0,2.8163183621970202e-06
51,4FGL J0017.5-0514,FSRQ,4.731386799591716e-06,30.046198732127234,362.02767264929463,158760.0,6350400.0,59908.50001157408,0.011945392491467578,1575.6487934860775,-0.6190476190476191,2.8163183621970202e-06
52,4FGL J0019.2-5640,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
53,4FGL J0019.6+7327,FSRQ,7.336334991436699e-06,740.9815722710929,9093.88931103094,2525040.0,101001600.0,56275.50001157408,0.1928406466512702,250.32322890702457,0.9940119760479041,6.0369734357165935e-06
54,4FGL J0021.5-2552,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
55,4FGL J0021.9-5140,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
56,4FGL J0022.5+0608,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
57,4FGL J0023.7-6820,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
58,4FGL J0023.7+4457,FSRQ,nan,nan,,143640.0,5745600.0,57756.00001157408,0.010957324106113034,,0.0,6.342337576356014e-07
59,4FGL J0023.7+4457,FSRQ,7.400630460441611e-07,25.73643248923175,295.1744563331834,869400.0,34776000.0,57829.50001157408,0.06632064590542099,4517.943501877287,0.0,6.342337576356014e-07
