,Unnamed: 0.1,Unnamed: 0,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
14,14,14,4FGL J0004.3+4614,FSRQ,7.519352279418712e-06,661.6909696251996,8381.168135869488,439992000.0,87998400.0,59376.50001157408,0.1778728606356968,3578.9696094861056,0.0,6.954892419348258e-06,9.839683508990995e-06
15,15,15,4FGL J0004.4-4737,FSRQ,3.993017834198519e-06,79.69424714206772,1011.1356923630588,99792000.0,19958400.0,59537.50001157408,0.0375,14127.869026605114,0.6666666666666666,3.096546530376466e-06,9.457317616047328e-06
17,17,17,4FGL J0005.9+3824,FSRQ,9.115032559497898e-07,34.17918449030284,371.2268122469063,187488000.0,37497600.0,54910.50001157408,0.0727699530516431,52745.31247442731,0.0,7.963855203762628e-07,1.7138269855960145e-06
18,18,18,4FGL J0005.9+3824,FSRQ,1.082939950318641e-06,16.701533089794207,181.398619686774,77112000.0,15422400.0,57990.50001157408,0.0299295774647887,69225.09395296233,0.0,7.963855203762628e-07,1.4654462630458677e-06
19,19,19,4FGL J0005.9+3824,FSRQ,8.217082251669864e-07,101.38170345452264,1101.1265234915545,616896000.0,123379200.0,58407.00001157408,0.2394366197183098,32255.60397462008,0.0,7.963855203762628e-07,2.073979033293728e-06
22,22,22,4FGL J0009.3+5030,BLL,3.484404079386788e-07,34.24472329221335,412.2924678606352,491400000.0,98280000.0,54690.00001157408,0.1848691695108077,76886.19963686267,0.4553846153846154,3.347337150339616e-07,9.93555681967563e-07
23,23,23,4FGL J0009.3+5030,BLL,4.103514760989334e-07,15.263105223795048,183.7615467421779,185976000.0,37195200.0,56139.00001157408,0.0699658703071672,106123.1336704966,-0.8861788617886179,3.347337150339616e-07,1.1166510761936326e-06
24,24,24,4FGL J0009.3+5030,BLL,8.607885067665876e-07,11.193005111187292,134.7592054019439,65016000.0,13003200.0,56867.00001157408,0.0244596131968145,85563.42674587852,0.0,3.347337150339616e-07,1.398011977281792e-06
25,25,25,4FGL J0009.3+5030,BLL,3.5113680591653937e-07,29.30672055012857,352.8409336939204,417312000.0,83462400.0,57297.50001157408,0.1569965870307167,82791.87057697667,-0.7681159420289855,3.347337150339616e-07,1.0375183227625878e-06
26,26,26,4FGL J0009.3+5030,BLL,6.611981175571745e-07,12.396671266455954,149.2508538057399,93744000.0,18748800.0,60573.50001157408,0.0352673492605233,92766.5273264586,0.0,3.347337150339616e-07,8.335316694736722e-07
27,27,27,4FGL J0010.6-3025,FSRQ,1.058458872399402e-06,52.1727079712134,585.5203414599237,246456000.0,49291200.0,55477.50001157408,0.0930365296803653,38341.07308761071,0.0,6.447822340104397e-07,1.3112721412281984e-06
28,28,28,4FGL J0010.6-3025,FSRQ,8.535918837463375e-07,25.554492378844355,286.79123023002194,149688000.0,29937600.0,56247.50001157408,0.0565068493150684,61004.81008414249,0.9494949494949496,6.447822340104397e-07,2.244897905782676e-06
29,29,29,4FGL J0010.6-3025,FSRQ,6.535558151493711e-07,89.72641643953109,1006.9755631744658,686448000.0,137289600.0,58288.00001157408,0.2591324200913242,37206.70805767416,-0.9911894273127754,6.447822340104397e-07,2.5491130425476178e-06
30,30,30,4FGL J0011.4+0057,FSRQ,5.110988166070497e-06,47.91244746401127,589.5475855287577,46872000.0,9374400.0,54812.50001157408,0.018065268065268,16606.444031102943,0.0,2.661967034946924e-06,6.205033556251721e-06
31,31,31,4FGL J0011.4+0057,FSRQ,3.0160255633604503e-06,511.6578791320723,6295.7891576224665,848232000.0,169646400.0,55579.00001157408,0.3269230769230769,6615.227739899685,0.9536541889483066,2.661967034946924e-06,7.739962909640305e-06
32,32,32,4FGL J0011.4+0057,FSRQ,7.554900505331043e-06,25.130621040933185,309.22438200738856,16632000.0,3326400.0,57556.50001157408,0.0064102564102564,18859.86512449627,0.0,2.661967034946924e-06,9.176918048982809e-06
33,33,33,4FGL J0011.4+0057,FSRQ,1.2312092898457364e-05,7.446353784987013,91.62503957305644,3024000.0,604800.0,58557.50001157408,0.0011655011655011,27140.593159596323,0.0,2.661967034946924e-06,1.2312092898457364e-05
34,34,34,4FGL J0011.4+0057,FSRQ,2.924893156734912e-06,275.96015946615086,3395.6029033499835,471744000.0,94348800.0,59597.00001157408,0.1818181818181818,9146.899277840175,-0.8846153846153846,2.661967034946924e-06,1.1103744258555712e-05
