,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph) (0.2-5 MeV),Background Counts,Duration (s),Coverage,MDP99 (%),Asymmetry
42,4FGL J0016.2-0016,FSRQ,1.0825418131774728e-06,42.88424440393768,450.43202748972993,4951800.0,39614400.0,0.07572254335260116,7064.933425605871,0.0
43,4FGL J0016.2-0016,FSRQ,9.892543499908537e-07,80.17233813717876,842.0852300805786,10130400.0,81043200.0,0.15491329479768787,5405.194595981134,0.0
44,4FGL J0016.2-0016,FSRQ,9.686170039924686e-07,158.75710184796878,1667.495469669697,20487600.0,163900800.0,0.3132947976878613,3881.812828770527,0.0
45,4FGL J0017.0-0649,BCU,nan,nan,,14401800.0,115214400.0,0.2199769053117783,,0.0
46,4FGL J0017.0-0649,BCU,nan,nan,,3969000.0,31752000.0,0.06062355658198614,,0.0
47,4FGL J0017.0-0649,BCU,nan,nan,,2948400.0,23587200.0,0.04503464203233257,,0.0
48,4FGL J0017.5-0514,FSRQ,3.74431125265147e-06,50.9525875260812,613.9294638227499,1701000.0,13608000.0,0.025597269624573378,3038.4218944297068,0.8
49,4FGL J0017.5-0514,FSRQ,3.4707950998289526e-06,87.11418036962685,1049.6417285639795,3137400.0,25099200.0,0.047212741751990896,2413.5290581331496,0.0
50,4FGL J0017.5-0514,FSRQ,3.962335962166554e-06,9.585683159673327,115.49822311930039,302400.0,2419200.0,0.004550625711035267,6809.803009866126,-0.5
51,4FGL J0017.5-0514,FSRQ,nan,nan,,2079000.0,16632000.0,0.03128555176336746,,0.0
52,4FGL J0017.5-0514,FSRQ,3.1874885657477873e-06,308.4468935302819,3716.4871335711523,12096000.0,96768000.0,0.1820250284414107,1338.415634122634,0.95
53,4FGL J0017.5-0514,FSRQ,3.872118840987898e-06,11.709287375147404,141.08560269468273,378000.0,3024000.0,0.005688282138794084,6232.758118320649,0.0
54,4FGL J0017.5-0514,FSRQ,3.298337950291649e-06,20.94576531953209,252.3762402722964,793800.0,6350400.0,0.011945392491467578,5049.078769647648,-0.6190476190476191
55,4FGL J0019.2-5640,BCU,1.911877831980396e-05,2925.448393337811,39091.613875568626,19126800.0,153014400.0,0.29282407407407407,160.14631538924232,0.0
56,4FGL J0019.2-5640,BCU,1.8694303564895413e-05,1136.284637002899,15183.723761326577,7597800.0,60782400.0,0.11631944444444445,259.8574630066645,0.0
57,4FGL J0019.2-5640,BCU,2.0121767989547143e-05,2872.036286098434,38377.88893779938,17841600.0,142732800.0,0.27314814814814814,157.55726901486497,0.9915254237288136
58,4FGL J0019.6+7327,FSRQ,6.9189599215426465e-06,698.8260224116817,8576.52434729487,12625200.0,101001600.0,0.1928406466512702,592.6404738030167,0.9940119760479041
59,4FGL J0021.5-2552,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
60,4FGL J0021.9-5140,BLL,8.48936452724575e-07,91.90518122280031,1149.0649714590818,13532400.0,108259200.0,0.20410490307867732,4578.226793644249,0.0
61,4FGL J0021.9-5140,BLL,6.392791334120763e-07,5.026268258539109,62.842036936336626,982800.0,7862400.0,0.014823261117445839,22559.64400251012,0.0
62,4FGL J0021.9-5140,BLL,5.860566273251495e-07,20.026258223653148,250.38274804560638,4271400.0,34171200.0,0.06442417331812998,11804.00774855612,0.8849557522123894
63,4FGL J0022.5+0608,BLL,1.8269657679264277e-06,40.88310916835043,515.5859548827996,2797200.0,22377600.0,0.04214123006833713,4639.1321119680615,0.0
64,4FGL J0022.5+0608,BLL,2.4127268046155135e-06,33.56199494292364,423.2577600486144,1738800.0,13910400.0,0.02619589977220957,4455.626470680171,0.0
65,4FGL J0022.5+0608,BLL,3.2047581699414542e-06,28.10444724711858,354.4314159348844,1096200.0,8769600.0,0.01651480637813212,4224.924231967936,0.0
66,4FGL J0022.5+0608,BLL,nan,nan,,680400.0,5443200.0,0.010250569476082005,,0.0
67,4FGL J0022.5+0608,BLL,2.0136484405161027e-06,66.98200172532763,844.7248759213635,4158000.0,33264000.0,0.06264236902050115,3452.2886993327347,-0.6909090909090909
68,4FGL J0022.5+0608,BLL,2.275897599495164e-06,87.40539212909188,1102.2887808559906,4800600.0,38404800.0,0.07232346241457858,2842.747361996938,0.0
69,4FGL J0022.5+0608,BLL,1.8947178519903453e-06,174.75361692477352,2203.8566117944238,11529000.0,92232000.0,0.17369020501138951,2203.383168649233,0.0
70,4FGL J0022.5+0608,BLL,2.579379008196453e-06,109.98059390308364,1386.9896561095313,5329800.0,42638400.0,0.08029612756264237,2380.536106802799,0.0
71,4FGL J0022.5+0608,BLL,3.3267330129878375e-06,26.156105641315573,329.86044793122073,982800.0,7862400.0,0.014806378132118452,4298.443638463661,0.0
72,4FGL J0023.7-6820,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
73,4FGL J0023.7+4457,FSRQ,nan,nan,,4951800.0,39614400.0,0.07554786620530565,,0.0
74,4FGL J0023.7+4457,FSRQ,nan,nan,,718200.0,5745600.0,0.010957324106113034,,0.0
75,4FGL J0023.7+4457,FSRQ,nan,nan,,4347000.0,34776000.0,0.06632064590542099,,0.0
76,4FGL J0024.7+0349,FSRQ,5.1286448046123514e-05,7552.893660014955,101271.13872448614,18408600.0,147268800.0,0.2808535178777393,60.75080565585319,0.0
77,4FGL J0024.7+0349,FSRQ,6.161709207022189e-05,9465.56839015383,126916.77292110605,19202400.0,153619200.0,0.29296424452133796,49.53649430072856,0.952755905511811
78,4FGL J0024.7+0349,FSRQ,6.911173897596554e-05,5872.728552439286,78743.05328484555,10621800.0,84974400.0,0.16205305651672433,59.40550555037635,-0.9110320284697508
79,4FGL J0024.7+0349,FSRQ,4.8154091246287266e-05,2723.0560750680493,36511.43547706525,7068600.0,56548800.0,0.10784313725490197,104.39809558421969,0.9411764705882353
80,4FGL J0025.7-4801,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
81,4FGL J0030.2-1647,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333.0,,-3333
82,4FGL J0030.3-4224,FSRQ,1.5513195578506497e-05,65.6766648011651,845.7624057176567,529200.0,4233600.0,0.007954545454545454,1230.961143106203,0.0
83,4FGL J0030.3-4224,FSRQ,8.462079650621437e-06,547.6116376784554,7051.961872365054,8089200.0,64713600.0,0.1215909090909091,576.9897385980489,0.0
84,4FGL J0030.3-4224,FSRQ,1.5580132443820688e-05,37.69145640809101,485.3781315360539,302400.0,2419200.0,0.004545454545454545,1621.4179852293696,0.0
85,4FGL J0030.3-4224,FSRQ,8.68351949600352e-06,417.5175109990428,5376.652660436775,6010200.0,48081600.0,0.0903409090909091,652.3229959088491,0.5974842767295597
86,4FGL J0030.3-4224,FSRQ,9.689481594580445e-06,521.5576636878005,6716.447397207803,6728400.0,53827200.0,0.10113636363636364,552.5466805133555,-0.9775280898876404
87,4FGL J0030.6-0212,BCU,1.8850713525017559e-06,60.424831161632284,714.2075648586608,4006800.0,32054400.0,0.06162790697674419,4008.1976299877942,-0.8490566037735849
88,4FGL J0030.6-0212,BCU,nan,nan,,151200.0,1209600.0,0.002325581395348837,,0.0
89,4FGL J0030.6-0212,BCU,nan,nan,,151200.0,1209600.0,0.002325581395348837,,0.0
