,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV)
4742,4FGL J1221.3+3010,BLL,1.6804102624070006e-07,1.5752837963908186,20.43315397770835,46872000.0,9374400.0,58631.00001157408,0.017613636363636363,479134.5260610182,0.0,1.318890757868159e-07
4743,4FGL J1221.3+3010,BLL,1.6598262851382073e-07,5.7220187423340505,74.22084217035764,172368000.0,34473600.0,58753.50001157408,0.06477272727272727,252952.266031128,0.0,1.318890757868159e-07
4744,4FGL J1221.3+3010,BLL,nan,nan,,13608000.0,2721600.0,59240.00001157408,0.005113636363636364,,0.0,1.318890757868159e-07
4745,4FGL J1221.3+3010,BLL,1.4509808122867795e-07,10.09186174561701,130.9024859154825,347760000.0,69552000.0,59691.50001157408,0.13068181818181818,203717.35962243305,-0.5608695652173913,1.318890757868159e-07
4746,4FGL J1221.3+3010,BLL,1.6009583387296752e-07,2.1301711271801564,27.630649626603617,66528000.0,13305600.0,60594.50001157408,0.025,422131.0185952885,0.0,1.318890757868159e-07
4747,4FGL J1800.6+7828,BLL,0.00012067942508367243,255.4542070171178,3452.712630001863,10584000.0,2116800.0,54963.00001157408,0.003972758229284903,1347.6320960027388,0.0,0.00010050226810847255
4748,4FGL J1800.6+7828,BLL,0.00016645437942575505,201.3432173533933,2721.349856159104,6048000.0,1209600.0,55057.50001157408,0.0022701475595913734,1292.5734641383578,0.0,0.00010050226810847255
4749,4FGL J1800.6+7828,BLL,0.00018705310887969225,452.5188810017515,6116.233801717585,12096000.0,2419200.0,55183.50001157408,0.004540295119182747,813.3596408229264,0.5,0.00010050226810847255
4750,4FGL J1800.6+7828,BLL,0.00018975799254536077,114.76563389143419,1551.169418010689,3024000.0,604800.0,55393.50001157408,0.0011350737797956867,1603.5372565480523,0.0,0.00010050226810847255
4751,4FGL J1800.6+7828,BLL,0.00020057752720803487,242.61857691083898,3279.22657667172,6048000.0,1209600.0,55673.50001157408,0.0022701475595913734,1072.7245231736697,0.0,0.00010050226810847255
4752,4FGL J1800.6+7828,BLL,0.00036536736283953236,220.97418104534918,2986.6814671346165,3024000.0,604800.0,55701.50001157408,0.0011350737797956867,833.0141630578879,0.0,0.00010050226810847255
4753,4FGL J1800.6+7828,BLL,0.00023761362663026535,287.417442771969,3884.7269196671205,6048000.0,1209600.0,55883.50001157408,0.0022701475595913734,905.5675798501167,0.5,0.00010050226810847255
4754,4FGL J1800.6+7828,BLL,0.00013357963948916842,161.57793192609813,2183.8832595676804,6048000.0,1209600.0,55911.50001157408,0.0022701475595913734,1610.6119068416667,0.0,0.00010050226810847255
4755,4FGL J1800.6+7828,BLL,0.0002327587072303475,422.3173983987425,5708.0313232937215,9072000.0,1814400.0,55974.50001157408,0.00340522133938706,754.8102602120978,-0.3333333333333333,0.00010050226810847255
4756,4FGL J1800.6+7828,BLL,0.00016395756373436873,99.1615345465462,1340.2648041583586,3024000.0,604800.0,56023.50001157408,0.0011350737797956867,1855.8058449378539,0.0,0.00010050226810847255
4757,4FGL J1800.6+7828,BLL,0.0001344119113862972,162.5846480128651,2197.4900088484765,6048000.0,1209600.0,56317.50001157408,0.0022701475595913734,1600.6408775996508,0.0,0.00010050226810847255
4758,4FGL J1800.6+7828,BLL,0.0001348280473348616,81.5440030281243,1102.146691744437,3024000.0,604800.0,56338.50001157408,0.0011350737797956867,2256.6627383669916,0.0,0.00010050226810847255
