,Name,Class,Average Photon Flux (ph/cm2/s) (0.2-5 MeV),Photon Fluence (ph/cm2) (0.2-5 MeV),Source Counts (ph) (0.2-5 MeV),Background Counts,Duration (s),Start Time (MJD),Coverage,MDP99 (%),Asymmetry,Average Flux of Entire Source (0.2-5 MeV)
23,4FGL J0009.3+5030,BLL,3.4970198311562546e-07,13.007235202382311,156.60179397195873,464940.0,37195200.0,56139.00001157408,0.06996587030716724,6227.459155582483,-0.8861788617886179,3.097343386334063e-07
24,4FGL J0009.3+5030,BLL,nan,nan,,162540.0,13003200.0,56867.00001157408,0.024459613196814563,,0.0,3.097343386334063e-07
25,4FGL J0009.3+5030,BLL,3.5113680591653937e-07,29.306720550128574,352.84093369392036,1043280.0,83462400.0,57297.50001157408,0.15699658703071673,4140.2917318288355,-0.7681159420289855,3.097343386334063e-07
26,4FGL J0009.3+5030,BLL,nan,nan,,234360.0,18748800.0,60573.50001157408,0.03526734926052332,,0.0,3.097343386334063e-07
27,4FGL J0010.6+2043,FSRQ,0.00021310427048285433,19526.14761238659,264793.61039629026,1145340.0,91627200.0,56594.00001157408,0.19104665825977302,6.412962027215626,0.0,0.00015255395953227803
28,4FGL J0010.6+2043,FSRQ,nan,nan,,1549800.0,123984000.0,58036.00001157408,0.25851197982345525,,0.0,0.00015255395953227803
29,4FGL J0010.6+2043,FSRQ,0.000159269955501882,3756.7322944139914,50944.954799951716,294840.0,23587200.0,59677.50001157408,0.04918032786885246,16.505850330161635,0.46153846153846156,0.00015255395953227803
30,4FGL J0010.6-3025,FSRQ,nan,nan,,616140.0,49291200.0,55477.50001157408,0.0930365296803653,,0.0,6.01689776735826e-07
31,4FGL J0010.6-3025,FSRQ,6.848686975492131e-07,20.503325119749324,230.10333164618075,374220.0,29937600.0,56247.50001157408,0.05650684931506849,3802.8579913408053,0.9494949494949495,6.01689776735826e-07
32,4FGL J0010.6-3025,FSRQ,6.425776087386957e-07,88.21922287269204,990.0607330608224,1716120.0,137289600.0,58288.00001157408,0.2591324200913242,1892.6628933167474,-0.9911894273127754,6.01689776735826e-07
33,4FGL J0011.4+0057,FSRQ,nan,nan,,117180.0,9374400.0,54812.50001157408,0.018065268065268064,,0.0,2.353260516683529e-06
34,4FGL J0011.4+0057,FSRQ,2.555870906935426e-06,433.59429822633007,5335.241365208439,2120580.0,169646400.0,55579.00001157408,0.3269230769230769,390.8003451748114,0.9536541889483066,2.353260516683529e-06
35,4FGL J0011.4+0057,FSRQ,nan,nan,,41580.0,3326400.0,57556.50001157408,0.00641025641025641,,0.0,2.353260516683529e-06
36,4FGL J0011.4+0057,FSRQ,nan,nan,,7560.0,604800.0,58557.50001157408,0.0011655011655011655,,0.0,2.353260516683529e-06
37,4FGL J0011.4+0057,FSRQ,2.7574609271330957e-06,260.16312952189503,3201.2254220251793,1179360.0,94348800.0,59597.00001157408,0.18181818181818182,485.7710150982708,-0.8846153846153846,2.353260516683529e-06
38,4FGL J0014.1+1910,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
39,4FGL J0014.3-0500,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
40,4FGL J0014.9+3212,BCU,nan,nan,,1712340.0,136987200.0,56587.00001157408,0.26184971098265897,,0.0,3.7400754794385553e-07
41,4FGL J0016.2-0016,FSRQ,nan,nan,,83160.0,6652800.0,55967.50001157408,0.012716763005780347,,0.0,8.830894561022233e-07
42,4FGL J0016.2-0016,FSRQ,1.0825418131774728e-06,42.88424440393768,450.43202748972993,495180.0,39614400.0,56559.00001157408,0.07572254335260116,2235.0423504113955,0.0,8.830894561022233e-07
43,4FGL J0016.2-0016,FSRQ,9.892543499908537e-07,80.17233813717876,842.0852300805786,1013040.0,81043200.0,57024.50001157408,0.15491329479768787,1709.9118108574369,0.0,8.830894561022233e-07
44,4FGL J0016.2-0016,FSRQ,9.686170039924686e-07,158.75710184796878,1667.495469669697,2048760.0,163900800.0,58358.00001157408,0.3132947976878613,1227.9864742383102,0.0,8.830894561022233e-07
45,4FGL J0017.0-0649,BCU,nan,nan,,1440180.0,115214400.0,56233.50001157408,0.2199769053117783,,0.0,5.389424235991325e-06
46,4FGL J0017.0-0649,BCU,nan,nan,,396900.0,31752000.0,58025.50001157408,0.06062355658198614,,0.0,5.389424235991325e-06
47,4FGL J0017.0-0649,BCU,nan,nan,,294840.0,23587200.0,58484.00001157408,0.04503464203233257,,0.0,5.389424235991325e-06
48,4FGL J0017.5-0514,FSRQ,3.74431125265147e-06,50.9525875260812,613.9294638227499,170100.0,13608000.0,54683.00001157408,0.025597269624573378,962.3920800067967,0.8,2.6769784768534134e-06
49,4FGL J0017.5-0514,FSRQ,3.4707950998289526e-06,87.11418036962685,1049.6417285639795,313740.0,25099200.0,56097.00001157408,0.047212741751990896,764.3726978004369,0.0,2.6769784768534134e-06
50,4FGL J0017.5-0514,FSRQ,3.962335962166554e-06,9.585683159673327,115.49822311930039,30240.0,2419200.0,56429.50001157408,0.004550625711035267,2157.1453901332757,-0.5,2.6769784768534134e-06
51,4FGL J0017.5-0514,FSRQ,nan,nan,,207900.0,16632000.0,56660.50001157408,0.03128555176336746,,0.0,2.6769784768534134e-06
