# of Flares,Detection Threshold (ph/cm^2)
317.0,2.9774908799999995
316.0,3.00573504
315.0,3.01389984
314.0,3.0748032000000003
313.0,3.1019889600000004
312.0,3.11508288
311.0,3.15802368
310.0,3.2113065600000006
309.0,3.3462374399999995
308.0,3.3936537600000003
307.0,3.4016371199999997
306.0,3.42552672
305.0,3.429216
304.0,3.4582464000000006
303.0,3.51304128
302.0,3.5617579200000002
301.0,3.6578304000000004
300.0,3.68928
299.0,3.701376
298.0,3.81163104
297.0,3.8150783999999995
296.0,3.84846336
295.0,3.9235190400000004
294.0,3.9674880000000003
293.0,3.9942201600000002
292.0,4.02264576
291.0,4.036919040000001
290.0,4.098971519999999
289.0,4.320691200000001
288.0,4.33390608
287.0,4.5701712
286.0,4.9383734399999994
285.0,4.9883904
284.0,5.0072904000000005
283.0,5.265388799999999
282.0,5.272102080000001
281.0,5.3089344
280.0,5.32090944
279.0,5.381207999999999
278.0,5.50389168
277.0,5.61006432
276.0,5.767523999999999
275.0,5.815787040000001
274.0,6.072191999999999
273.0,6.073159679999999
272.0,6.128226720000002
271.0,6.1388107199999995
270.0,6.189281280000001
269.0,6.328838879999998
268.0,6.338304000000001
267.0,6.347376000000001
266.0,6.43797504
265.0,6.47136
264.0,6.48756864
263.0,6.541516800000001
262.0,6.59132208
261.0,6.6315715200000005
260.0,6.676992000000002
259.0,6.68760624
258.0,6.834239999999998
257.0,6.9824160000000015
256.0,7.0519680000000005
255.0,7.2237312000000005
254.0,7.22693664
253.0,7.240212000000001
252.0,7.5188736
251.0,7.666202879999998
250.0,7.778000160000001
249.0,7.794662400000001
248.0,7.9761024
247.0,8.06845536
246.0,8.120770559999999
245.0,8.1230688
244.0,8.190322559999998
243.0,8.35860816
242.0,8.360755200000002
241.0,8.4333312
240.0,8.43550848
239.0,8.4424032
238.0,8.57049984
237.0,8.667388800000001
236.0,8.7490368
235.0,8.80298496
234.0,8.95732992
233.0,9.21642624
232.0,9.338172479999999
231.0,9.3671424
230.0,9.4868928
229.0,9.56237184
228.0,9.731080799999999
227.0,9.81239616
226.0,9.8594496
225.0,10.108355040000001
224.0,10.255896000000002
223.0,10.354175999999999
222.0,10.70592768
221.0,11.04534144
220.0,11.076912
219.0,11.13908544
218.0,11.214806399999999
217.0,11.23004736
216.0,11.909177280000002
215.0,12.0693888
214.0,12.07749312
213.0,12.152125440000002
212.0,12.275232480000001
211.0,12.89394288
210.0,13.35108096
209.0,13.408415999999999
208.0,13.52508192
207.0,13.56905088
206.0,14.4571392
205.0,14.54023872
204.0,14.72942016
203.0,14.937410880000003
202.0,14.950504800000003
201.0,15.293880000000001
200.0,15.484391999999998
199.0,15.91900128
198.0,16.00808832
197.0,16.50659472
196.0,16.70348736
195.0,16.782474239999996
194.0,16.798803839999998
193.0,17.01653184
192.0,17.047255680000003
191.0,17.350502400000003
190.0,17.503698240000006
189.0,18.250444799999997
188.0,18.50222304
187.0,18.5988096
186.0,20.25324
185.0,21.10582656
184.0,21.334380479999997
183.0,21.4868808
182.0,21.554769599999997
181.0,21.644582400000008
180.0,22.252104
179.0,22.608694080000003
178.0,22.690027584
177.0,23.449607999999998
176.0,24.238872
175.0,24.445411199999995
174.0,24.9486048
173.0,25.231989888
172.0,25.234306272
171.0,25.27525728
170.0,25.319951999999997
169.0,25.383244319999996
168.0,25.830221759999997
167.0,26.4412512
166.0,26.52943104
165.0,28.148450399999998
164.0,29.00781072
163.0,29.272803840000005
162.0,29.92078656
161.0,30.036666240000002
160.0,30.246773760000004
159.0,31.17157344
158.0,31.1732064
157.0,31.331815200000005
156.0,31.57745472
155.0,33.18767424
154.0,33.49255392
153.0,35.18206272
152.0,35.71776432
151.0,36.140462064000005
150.0,36.422800848
149.0,36.96749280000001
148.0,37.57326048
147.0,38.13188400000001
146.0,39.44278800000001
145.0,40.11865199999999
144.0,42.0140196
143.0,42.732772992
142.0,42.91219296
141.0,43.4966112
140.0,43.69800959999999
139.0,44.52585984
138.0,44.61972480000001
137.0,44.833824
136.0,45.48120192
135.0,45.7252992
134.0,45.95639327999999
133.0,46.44292464000001
132.0,46.5218208
131.0,47.94213312
130.0,49.126422240000004
129.0,51.0402816
128.0,51.74931888
